Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0005,066037,1939,,,,,,,28.3,13,25.5,12,20.4,24,18.8,14,27.6,28,29.2,17,31.6,31,34.4,27,40.2,12,
IDCJAC0005,066037,1940,42.3,25,40.4,11,39.8,28,29.3,12,22.8,17,25.0,16,22.7,29,26.1,25,31.1,08,35.0,15,36.6,11,34.8,28,42.3
IDCJAC0005,066037,1941,33.8,31,37.8,01,31.9,25,32.2,02,23.9,22,20.7,07,20.7,19,23.4,04,32.2,21,34.3,20,39.6,30,37.8,27,39.6
IDCJAC0005,066037,1942,42.8,04,32.1,23,37.1,05,31.1,01,29.2,04,22.9,10,24.2,01,27.3,20,30.3,15,38.2,04,35.3,10,37.9,28,42.8
IDCJAC0005,066037,1943,33.7,30,38.1,06,35.3,17,31.7,06,26.6,03,20.9,13,21.2,04,19.7,31,25.0,21,29.8,19,28.4,04,32.0,23,38.1
IDCJAC0005,066037,1944,39.7,23,37.8,15,32.4,12,30.2,08,24.9,02,21.5,15,22.6,28,23.2,29,26.4,09,36.8,09,38.2,16,35.4,09,39.7
IDCJAC0005,066037,1945,34.9,25,33.3,05,30.8,04,27.3,15,25.7,01,22.4,04,22.9,29,24.7,25,28.5,20,32.0,25,37.2,09,38.9,17,38.9
IDCJAC0005,066037,1946,40.3,05,39.3,01,28.4,10,25.8,12,26.8,12,20.9,10,23.8,13,29.3,12,33.1,12,36.3,13,40.8,06,36.3,21,40.8
IDCJAC0005,066037,1947,31.2,29,36.1,08,32.6,10,27.7,08,28.1,07,21.7,16,21.8,13,27.8,06,28.5,14,30.0,22,30.0,09,37.1,31,37.1
IDCJAC0005,066037,1948,30.3,21,34.2,19,32.8,10,27.9,01,24.9,05,20.6,20,19.6,16,24.3,14,29.2,27,36.1,26,36.2,07,35.2,18,36.2
IDCJAC0005,066037,1949,34.4,04,35.7,06,29.6,16,30.4,08,25.0,15,19.2,02,22.2,16,23.6,10,28.4,22,31.7,20,32.2,18,36.6,04,36.6
IDCJAC0005,066037,1950,39.4,06,32.6,27,30.7,04,29.0,08,22.3,08,21.8,01,19.6,07,21.6,31,29.1,30,28.8,31,31.7,10,39.6,14,39.6
IDCJAC0005,066037,1951,27.2,12,34.6,13,37.6,06,28.2,02,26.1,07,21.7,09,21.4,28,20.5,02,30.2,18,32.3,29,36.6,06,31.9,06,37.6
IDCJAC0005,066037,1952,42.7,25,33.1,07,34.2,12,31.8,01,24.0,07,25.1,06,20.1,30,22.1,11,32.1,22,31.4,30,32.9,16,30.7,04,42.7
IDCJAC0005,066037,1953,28.5,06,30.1,09,32.7,18,30.5,26,27.1,12,22.7,01,24.2,31,24.6,10,31.8,08,28.2,20,39.3,17,43.1,21,43.1
IDCJAC0005,066037,1954,27.8,26,36.4,18,33.9,15,30.6,02,22.3,06,21.7,02,21.1,24,31.1,24,23.5,24,30.3,07,34.7,28,32.5,04,36.4
IDCJAC0005,066037,1955,40.6,03,34.8,14,29.4,05,29.5,01,24.7,13,22.3,18,19.8,27,24.7,14,30.0,22,30.6,22,34.5,30,30.4,02,40.6
IDCJAC0005,066037,1956,30.4,15,28.6,25,31.3,08,30.8,13,23.1,02,22.7,15,22.1,30,23.8,09,24.7,20,27.3,14,36.7,16,37.2,19,37.2
IDCJAC0005,066037,1957,34.2,23,29.3,24,34.6,19,33.0,10,30.0,13,24.3,28,18.4,10,23.9,20,26.8,14,32.7,10,40.6,24,42.3,20,42.3
IDCJAC0005,066037,1958,36.5,19,37.2,27,33.3,27,31.6,06,28.5,03,26.8,05,23.2,27,25.7,13,23.9,26,37.6,30,35.9,05,34.4,21,37.6
IDCJAC0005,066037,1959,34.0,26,34.6,03,32.9,08,28.3,15,25.7,01,20.9,24,19.9,04,28.1,12,25.6,14,28.4,11,34.1,08,30.1,16,34.6
IDCJAC0005,066037,1960,43.0,27,33.4,11,34.9,31,31.7,14,23.9,01,19.2,09,25.8,29,22.2,28,26.8,07,31.9,10,33.4,29,32.0,27,43.0
IDCJAC0005,066037,1961,41.4,29,33.9,23,33.2,31,29.2,12,24.2,24,20.3,16,20.6,04,20.9,16,30.7,25,33.7,01,30.7,15,33.4,06,41.4
IDCJAC0005,066037,1962,27.7,18,36.5,08,29.2,18,26.5,19,21.8,01,23.6,19,21.6,31,28.2,28,28.2,05,28.7,28,33.6,27,33.4,11,36.5
IDCJAC0005,066037,1963,32.8,29,34.7,08,32.4,26,28.9,08,26.1,16,20.2,16,22.2,28,22.2,25,27.9,16,29.1,26,29.3,13,37.2,25,37.2
IDCJAC0005,066037,1964,41.0,07,31.7,13,35.3,19,26.2,08,25.0,03,21.7,18,21.5,19,25.4,22,27.3,22,34.3,22,39.4,26,37.9,01,41.0
IDCJAC0005,066037,1965,29.9,24,35.0,16,41.1,06,31.3,17,27.2,11,23.0,07,20.6,02,23.4,15,35.0,26,32.3,15,37.3,05,37.7,28,41.1
IDCJAC0005,066037,1966,32.2,13,33.7,14,37.6,09,31.1,15,23.4,15,21.1,20,21.3,13,21.8,02,23.4,20,29.1,26,37.6,30,33.3,19,37.6
IDCJAC0005,066037,1967,40.3,22,30.5,25,29.4,22,27.8,20,26.8,13,20.7,09,21.7,22,20.6,26,27.3,26,34.1,28,36.8,14,34.4,30,40.3
IDCJAC0005,066037,1968,34.3,28,40.0,01,33.9,02,30.7,12,26.0,10,20.5,01,18.8,31,25.0,28,29.2,12,36.0,28,36.9,20,32.3,09,40.0
IDCJAC0005,066037,1969,40.2,08,32.3,07,31.8,13,32.9,10,23.7,01,20.2,30,21.7,13,25.0,29,24.7,02,33.9,26,27.2,18,38.7,19,40.2
IDCJAC0005,066037,1970,35.9,17,32.1,06,34.1,11,28.9,11,21.3,02,21.5,15,23.1,25,25.7,01,24.3,08,34.0,05,30.2,25,36.2,18,36.2
IDCJAC0005,066037,1971,35.8,09,30.5,02,32.2,15,29.3,11,23.6,03,20.6,09,19.1,17,22.8,24,28.7,20,33.9,31,29.4,29,36.7,04,36.7
IDCJAC0005,066037,1972,31.4,12,31.1,18,28.9,29,26.2,22,23.8,03,20.5,10,21.6,19,27.4,25,30.8,17,29.9,05,30.8,12,41.7,23,41.7
IDCJAC0005,066037,1973,37.8,31,39.7,06,33.2,18,29.0,03,28.2,07,23.5,24,22.8,31,25.2,07,33.1,30,31.7,19,38.4,20,32.6,25,39.7
IDCJAC0005,066037,1974,31.4,21,32.7,18,30.3,04,28.1,07,26.7,14,22.5,06,20.6,31,20.9,30,24.0,13,27.4,05,39.4,12,35.5,02,39.4
IDCJAC0005,066037,1975,40.3,02,36.4,08,32.6,15,29.3,05,25.3,21,23.2,03,25.1,31,23.2,20,27.8,17,28.1,31,37.7,20,40.6,12,40.6
IDCJAC0005,066037,1976,29.4,30,31.5,18,30.6,18,29.2,05,26.5,04,24.2,01,22.0,25,24.0,22,24.3,30,26.5,04,28.9,14,37.8,07,37.8
IDCJAC0005,066037,1977,40.5,30,41.8,01,33.6,24,31.7,06,23.5,11,22.0,16,22.5,23,27.2,30,27.2,29,36.4,29,36.0,10,38.4,10,41.8
IDCJAC0005,066037,1978,38.7,15,38.6,20,33.0,07,27.6,11,24.8,09,20.0,02,25.0,22,22.9,07,29.0,12,31.2,13,32.0,27,29.8,04,38.7
IDCJAC0005,066037,1979,42.6,10,39.8,13,33.3,23,30.3,22,26.2,03,21.7,08,23.0,22,23.1,19,30.5,17,34.0,10,30.3,01,41.1,05,42.6
IDCJAC0005,066037,1980,39.9,18,42.6,21,37.0,19,33.9,03,26.1,11,22.5,09,19.5,14,26.3,23,34.7,25,30.6,02,41.6,18,36.8,21,42.6
IDCJAC0005,066037,1981,31.9,19,34.7,09,36.9,20,30.0,24,23.7,03,21.3,01,22.6,01,23.2,17,31.4,11,35.0,02,29.0,10,40.5,05,40.5
IDCJAC0005,066037,1982,41.8,25,39.3,09,32.2,01,29.3,02,26.0,05,18.4,12,18.2,05,29.3,30,30.7,02,36.0,30,43.4,25,37.2,24,43.4
IDCJAC0005,066037,1983,42.2,08,35.2,01,41.2,09,26.5,24,24.2,09,19.9,29,20.4,01,23.7,08,31.8,23,30.2,02,30.6,03,38.0,25,42.2
IDCJAC0005,066037,1984,37.4,25,36.3,13,28.2,07,28.8,17,23.8,03,23.1,08,19.5,31,21.7,23,25.0,04,33.3,13,35.1,21,34.1,18,37.4
IDCJAC0005,066037,1985,37.3,09,34.4,16,39.2,02,25.7,15,26.8,06,20.6,02,22.6,29,21.6,25,28.9,25,32.3,04,29.2,17,39.7,20,39.7
IDCJAC0005,066037,1986,35.7,12,40.5,09,35.5,27,35.7,04,24.1,18,21.6,07,23.5,23,25.5,29,28.3,25,33.0,31,30.9,06,29.5,26,40.5
IDCJAC0005,066037,1987,35.6,16,36.2,01,31.2,28,29.5,14,25.0,14,23.5,11,21.3,17,24.1,23,32.9,28,31.1,28,35.8,03,32.6,18,36.2
IDCJAC0005,066037,1988,34.3,21,34.8,28,35.4,11,27.4,15,25.8,07,22.6,05,21.6,25,27.4,17,29.4,24,38.1,29,40.4,03,35.7,10,40.4
IDCJAC0005,066037,1989,30.4,10,31.8,09,35.0,09,26.9,12,25.2,04,20.1,18,23.3,02,21.0,26,29.7,10,33.2,01,29.7,30,38.1,26,38.1
IDCJAC0005,066037,1990,34.5,20,29.2,17,30.2,05,28.7,12,27.3,05,20.7,16,26.7,24,22.7,30,27.4,21,36.0,30,37.3,01,42.7,18,42.7
IDCJAC0005,066037,1991,36.8,05,41.2,14,30.8,26,30.3,01,26.8,02,25.6,26,20.3,20,24.2,04,28.0,15,35.9,16,35.4,26,33.5,15,41.2
IDCJAC0005,066037,1992,35.6,23,35.3,03,29.4,20,27.1,07,25.1,09,21.6,01,24.1,04,26.8,17,25.2,25,29.4,31,29.6,23,30.0,25,35.6
