Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,069134,1991,11,35.8,19,Y
IDCJAC0005,069134,1991,12,32.5,03,Y
IDCJAC0005,069134,1992,01,32.8,23,Y
IDCJAC0005,069134,1992,02,34.6,22,Y
IDCJAC0005,069134,1992,03,30.4,15,Y
IDCJAC0005,069134,1992,04,29.9,06,Y
IDCJAC0005,069134,1992,05,24.8,05,Y
IDCJAC0005,069134,1992,06,22.3,01,Y
IDCJAC0005,069134,1992,07,22.3,30,Y
IDCJAC0005,069134,1992,08,23.4,17,Y
IDCJAC0005,069134,1992,09,22.7,22,Y
IDCJAC0005,069134,1992,10,27.9,31,Y
IDCJAC0005,069134,1992,11,28.6,24,Y
IDCJAC0005,069134,1992,12,32.1,24,Y
IDCJAC0005,069134,1993,01,34.3,15,Y
IDCJAC0005,069134,1993,02,41.0,04,Y
IDCJAC0005,069134,1993,03,28.6,26,Y
IDCJAC0005,069134,1993,04,28.7,13,Y
IDCJAC0005,069134,1993,05,24.4,29,Y
IDCJAC0005,069134,1993,06,20.4,21,Y
IDCJAC0005,069134,1993,07,20.2,01,Y
IDCJAC0005,069134,1993,08,25.2,15,Y
IDCJAC0005,069134,1993,09,29.2,30,Y
IDCJAC0005,069134,1993,10,31.2,09,Y
IDCJAC0005,069134,1993,11,37.6,27,Y
IDCJAC0005,069134,1993,12,39.4,01,Y
IDCJAC0005,069134,1994,01,36.4,02,Y
IDCJAC0005,069134,1994,02,33.7,16,Y
IDCJAC0005,069134,1994,03,27.3,10,Y
IDCJAC0005,069134,1994,04,29.2,06,Y
IDCJAC0005,069134,1994,05,27.5,02,Y
IDCJAC0005,069134,1994,06,22.3,23,Y
IDCJAC0005,069134,1994,07,22.9,04,Y
IDCJAC0005,069134,1994,08,27.5,28,Y
IDCJAC0005,069134,1994,09,28.6,03,Y
IDCJAC0005,069134,1994,10,35.8,17,Y
IDCJAC0005,069134,1994,11,34.0,11,Y
IDCJAC0005,069134,1994,12,39.0,21,Y
IDCJAC0005,069134,1995,01,29.5,06,Y
IDCJAC0005,069134,1995,02,35.7,03,Y
IDCJAC0005,069134,1995,03,31.0,12,Y
IDCJAC0005,069134,1995,04,27.9,30,Y
IDCJAC0005,069134,1995,05,25.8,12,Y
IDCJAC0005,069134,1995,06,24.5,09,Y
IDCJAC0005,069134,1995,07,19.3,14,Y
IDCJAC0005,069134,1995,08,27.4,25,Y
IDCJAC0005,069134,1995,09,25.3,19,Y
IDCJAC0005,069134,1995,10,30.2,11,Y
IDCJAC0005,069134,1995,11,36.4,28,Y
IDCJAC0005,069134,1995,12,31.1,18,Y
IDCJAC0005,069134,1996,01,34.0,20,Y
IDCJAC0005,069134,1996,02,28.3,26,Y
IDCJAC0005,069134,1996,03,29.4,29,Y
IDCJAC0005,069134,1996,04,27.2,26,Y
IDCJAC0005,069134,1996,05,27.1,11,Y
IDCJAC0005,069134,1996,06,23.7,01,Y
IDCJAC0005,069134,1996,07,19.8,23,Y
IDCJAC0005,069134,1996,08,24.0,14,Y
IDCJAC0005,069134,1996,09,30.2,19,Y
IDCJAC0005,069134,1996,10,32.0,11,Y
IDCJAC0005,069134,1996,11,34.2,13,Y
IDCJAC0005,069134,1996,12,38.2,24,Y
IDCJAC0005,069134,1997,01,35.0,06,Y
IDCJAC0005,069134,1997,02,32.5,20,Y
IDCJAC0005,069134,1997,03,33.0,01,Y
IDCJAC0005,069134,1997,04,29.4,28,Y
IDCJAC0005,069134,1997,05,26.5,02,Y
IDCJAC0005,069134,1997,06,21.5,05,Y
IDCJAC0005,069134,1997,07,21.4,25,Y
IDCJAC0005,069134,1997,08,23.8,17,Y
IDCJAC0005,069134,1997,09,24.2,15,Y
IDCJAC0005,069134,1997,10,32.1,11,Y
IDCJAC0005,069134,1997,11,35.6,23,Y
IDCJAC0005,069134,1997,12,40.8,21,Y
IDCJAC0005,069134,1998,01,34.7,28,Y
IDCJAC0005,069134,1998,02,41.6,26,Y
IDCJAC0005,069134,1998,03,40.8,13,Y
IDCJAC0005,069134,1998,04,35.0,08,Y
IDCJAC0005,069134,1998,05,25.5,29,Y
IDCJAC0005,069134,1998,06,23.3,01,Y
IDCJAC0005,069134,1998,07,21.3,06,Y
IDCJAC0005,069134,1998,08,21.4,22,Y
IDCJAC0005,069134,1998,09,29.5,29,Y
IDCJAC0005,069134,1998,10,33.0,01,Y
IDCJAC0005,069134,1998,11,26.9,13,Y
IDCJAC0005,069134,1998,12,34.4,12,Y
IDCJAC0005,069134,1999,01,31.2,04,Y
IDCJAC0005,069134,1999,02,30.7,17,Y
IDCJAC0005,069134,1999,03,33.8,26,Y
IDCJAC0005,069134,1999,04,27.3,20,Y
IDCJAC0005,069134,1999,05,24.6,30,Y
IDCJAC0005,069134,1999,06,21.2,03,Y
IDCJAC0005,069134,1999,07,21.1,05,Y
IDCJAC0005,069134,1999,08,24.5,25,Y
IDCJAC0005,069134,1999,09,28.1,15,Y
IDCJAC0005,069134,1999,10,31.4,10,Y
IDCJAC0005,069134,1999,11,28.1,13,Y
IDCJAC0005,069134,1999,12,35.3,03,Y
IDCJAC0005,069134,2000,01,35.8,20,Y
IDCJAC0005,069134,2000,02,37.0,11,Y
IDCJAC0005,069134,2000,03,32.0,03,Y
IDCJAC0005,069134,2000,04,31.5,03,Y
IDCJAC0005,069134,2000,05,24.3,04,Y
IDCJAC0005,069134,2000,06,21.4,21,Y
IDCJAC0005,069134,2000,07,20.8,25,Y
IDCJAC0005,069134,2000,08,20.4,08,Y
IDCJAC0005,069134,2000,09,30.7,29,Y
IDCJAC0005,069134,2000,10,34.2,07,Y
IDCJAC0005,069134,2000,11,29.2,26,Y
IDCJAC0005,069134,2000,12,39.3,22,Y
IDCJAC0005,069134,2001,01,40.3,15,Y
IDCJAC0005,069134,2001,02,32.8,04,Y
IDCJAC0005,069134,2001,03,30.2,20,Y
IDCJAC0005,069134,2001,04,30.5,19,Y
IDCJAC0005,069134,2001,05,25.5,16,Y
IDCJAC0005,069134,2001,06,22.4,24,Y
IDCJAC0005,069134,2001,07,21.8,31,Y
IDCJAC0005,069134,2001,08,24.9,16,Y
IDCJAC0005,069134,2001,09,29.8,24,Y
IDCJAC0005,069134,2001,10,29.4,24,Y
IDCJAC0005,069134,2001,11,33.1,24,Y
IDCJAC0005,069134,2001,12,37.3,03,Y
IDCJAC0005,069134,2002,01,36.1,07,Y
IDCJAC0005,069134,2002,02,30.7,16,Y
IDCJAC0005,069134,2002,03,29.8,18,Y
IDCJAC0005,069134,2002,04,29.4,10,Y
IDCJAC0005,069134,2002,05,26.1,07,Y
IDCJAC0005,069134,2002,06,23.9,07,Y
IDCJAC0005,069134,2002,07,20.1,09,Y
IDCJAC0005,069134,2002,08,26.3,11,Y
IDCJAC0005,069134,2002,09,29.3,24,Y
IDCJAC0005,069134,2002,10,33.8,30,Y
IDCJAC0005,069134,2002,11,41.0,25,Y
IDCJAC0005,069134,2002,12,32.5,08,Y
IDCJAC0005,069134,2003,01,44.8,30,Y
IDCJAC0005,069134,2003,02,31.9,28,Y
IDCJAC0005,069134,2003,03,28.1,19,Y
IDCJAC0005,069134,2003,04,24.9,15,Y
IDCJAC0005,069134,2003,05,24.9,09,Y
IDCJAC0005,069134,2003,06,22.8,02,Y
IDCJAC0005,069134,2003,07,22.2,23,Y
IDCJAC0005,069134,2003,08,24.7,05,Y
IDCJAC0005,069134,2003,09,30.8,22,Y
IDCJAC0005,069134,2003,10,31.0,19,Y
IDCJAC0005,069134,2003,11,31.3,20,Y
IDCJAC0005,069134,2003,12,34.5,25,Y
IDCJAC0005,069134,2004,01,38.8,21,Y
IDCJAC0005,069134,2004,02,31.4,15,Y
IDCJAC0005,069134,2004,03,34.0,08,Y
IDCJAC0005,069134,2004,04,29.0,23,Y
IDCJAC0005,069134,2004,05,23.3,04,Y
IDCJAC0005,069134,2004,06,23.9,09,Y
IDCJAC0005,069134,2004,07,21.9,04,Y
IDCJAC0005,069134,2004,08,22.8,26,Y
IDCJAC0005,069134,2004,09,29.5,22,Y
IDCJAC0005,069134,2004,10,36.9,13,Y
IDCJAC0005,069134,2004,11,39.4,28,Y
IDCJAC0005,069134,2004,12,37.2,19,Y
IDCJAC0005,069134,2005,01,40.5,12,Y
IDCJAC0005,069134,2005,02,29.2,08,Y
IDCJAC0005,069134,2005,03,29.9,15,Y
IDCJAC0005,069134,2005,04,31.8,03,Y
IDCJAC0005,069134,2005,05,24.2,05,Y
IDCJAC0005,069134,2005,06,23.8,10,Y
IDCJAC0005,069134,2005,07,21.2,26,Y
IDCJAC0005,069134,2005,08,25.4,31,Y
IDCJAC0005,069134,2005,09,26.0,22,Y
IDCJAC0005,069134,2005,10,31.8,03,Y
IDCJAC0005,069134,2005,11,34.8,03,Y
IDCJAC0005,069134,2005,12,39.0,21,Y
IDCJAC0005,069134,2006,01,35.4,22,Y
IDCJAC0005,069134,2006,02,35.1,09,Y
IDCJAC0005,069134,2006,03,34.2,13,Y
IDCJAC0005,069134,2006,04,30.6,11,Y
IDCJAC0005,069134,2006,05,23.8,07,Y
IDCJAC0005,069134,2006,06,18.3,29,Y
IDCJAC0005,069134,2006,07,20.1,11,Y
IDCJAC0005,069134,2006,08,24.0,17,Y
IDCJAC0005,069134,2006,09,30.1,19,Y
IDCJAC0005,069134,2006,10,36.9,13,Y
IDCJAC0005,069134,2006,11,39.4,21,Y
IDCJAC0005,069134,2006,12,40.2,01,Y
IDCJAC0005,069134,2007,01,38.2,21,Y
IDCJAC0005,069134,2007,02,28.5,22,Y
IDCJAC0005,069134,2007,03,32.2,24,Y
IDCJAC0005,069134,2007,04,26.1,02,Y
IDCJAC0005,069134,2007,05,27.2,03,Y
IDCJAC0005,069134,2007,06,19.7,03,Y
IDCJAC0005,069134,2007,07,23.1,26,Y
IDCJAC0005,069134,2007,08,27.2,30,Y
IDCJAC0005,069134,2007,09,27.1,24,Y
IDCJAC0005,069134,2007,10,36.0,22,Y
IDCJAC0005,069134,2007,11,33.1,14,Y
IDCJAC0005,069134,2007,12,31.2,29,Y
IDCJAC0005,069134,2008,01,37.2,13,Y
IDCJAC0005,069134,2008,02,30.3,07,Y
IDCJAC0005,069134,2008,03,33.8,20,Y
IDCJAC0005,069134,2008,04,27.6,02,Y
IDCJAC0005,069134,2008,05,21.6,20,Y
IDCJAC0005,069134,2008,06,21.7,30,Y
IDCJAC0005,069134,2008,07,20.3,02,Y
IDCJAC0005,069134,2008,08,24.8,31,Y
IDCJAC0005,069134,2008,09,31.1,13,Y
IDCJAC0005,069134,2008,10,36.0,31,Y
IDCJAC0005,069134,2008,11,31.2,06,Y
IDCJAC0005,069134,2008,12,34.7,28,Y
IDCJAC0005,069134,2009,01,35.4,24,Y
IDCJAC0005,069134,2009,02,31.9,05,Y
IDCJAC0005,069134,2009,03,33.3,26,Y
IDCJAC0005,069134,2009,04,28.2,15,Y
IDCJAC0005,069134,2009,05,23.7,16,Y
IDCJAC0005,069134,2009,06,20.4,30,Y
IDCJAC0005,069134,2009,07,23.9,22,Y
IDCJAC0005,069134,2009,08,25.3,16,Y
IDCJAC0005,069134,2009,09,31.2,13,Y
IDCJAC0005,069134,2009,10,32.4,01,Y
IDCJAC0005,069134,2009,11,40.0,20,Y
IDCJAC0005,069134,2009,12,42.1,17,Y
IDCJAC0005,069134,2010,01,36.0,23,Y
IDCJAC0005,069134,2010,02,36.2,21,Y
IDCJAC0005,069134,2010,03,31.8,21,Y
IDCJAC0005,069134,2010,04,30.0,23,Y
IDCJAC0005,069134,2010,05,24.8,04,Y
IDCJAC0005,069134,2010,06,20.0,25,Y
IDCJAC0005,069134,2010,07,21.0,31,Y
IDCJAC0005,069134,2010,08,21.4,19,Y
IDCJAC0005,069134,2010,09,25.2,27,Y
IDCJAC0005,069134,2010,10,27.7,23,Y
IDCJAC0005,069134,2010,11,34.6,13,Y
IDCJAC0005,069134,2010,12,32.9,26,Y
IDCJAC0005,069134,2011,01,41.0,01,Y
IDCJAC0005,069134,2011,02,41.2,01,Y
IDCJAC0005,069134,2011,03,32.2,09,Y
IDCJAC0005,069134,2011,04,27.8,09,Y
IDCJAC0005,069134,2011,05,22.0,19,Y
IDCJAC0005,069134,2011,06,19.8,20,Y
IDCJAC0005,069134,2011,07,20.2,03,Y
IDCJAC0005,069134,2011,08,26.9,04,Y
IDCJAC0005,069134,2011,09,25.6,14,Y
IDCJAC0005,069134,2011,10,32.4,24,Y
IDCJAC0005,069134,2011,11,35.6,14,Y
IDCJAC0005,069134,2011,12,27.8,25,Y
IDCJAC0005,069134,2012,01,34.7,30,Y
IDCJAC0005,069134,2012,02,30.5,27,Y
IDCJAC0005,069134,2012,03,31.8,16,Y
IDCJAC0005,069134,2012,04,26.1,06,Y
IDCJAC0005,069134,2012,05,26.1,09,Y
IDCJAC0005,069134,2012,06,20.0,15,Y
IDCJAC0005,069134,2012,07,21.0,13,Y
IDCJAC0005,069134,2012,08,23.3,23,Y
IDCJAC0005,069134,2012,09,27.8,28,Y
IDCJAC0005,069134,2012,10,31.7,04,Y
IDCJAC0005,069134,2012,11,30.7,30,Y
IDCJAC0005,069134,2012,12,34.7,01,Y
IDCJAC0005,069134,2013,01,45.6,18,Y
IDCJAC0005,069134,2013,02,33.2,08,Y
IDCJAC0005,069134,2013,03,32.7,13,Y
IDCJAC0005,069134,2013,04,26.9,13,Y
IDCJAC0005,069134,2013,05,23.7,31,Y
IDCJAC0005,069134,2013,06,22.0,07,Y
IDCJAC0005,069134,2013,07,21.7,17,Y
IDCJAC0005,069134,2013,08,22.1,15,Y
IDCJAC0005,069134,2013,09,29.8,25,Y
IDCJAC0005,069134,2013,10,33.4,21,Y
IDCJAC0005,069134,2013,11,34.2,28,Y
IDCJAC0005,069134,2013,12,28.8,19,Y
IDCJAC0005,069134,2014,01,32.6,06,Y
IDCJAC0005,069134,2014,02,30.4,09,Y
IDCJAC0005,069134,2014,03,31.6,15,Y
IDCJAC0005,069134,2014,04,29.3,02,Y
IDCJAC0005,069134,2014,05,25.6,22,Y
IDCJAC0005,069134,2014,06,20.7,20,Y
IDCJAC0005,069134,2014,07,23.5,31,Y
IDCJAC0005,069134,2014,08,21.4,10,Y
IDCJAC0005,069134,2014,09,30.0,30,Y
IDCJAC0005,069134,2014,10,32.0,05,Y
