Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,014015,1941,02,28.5,09,Y
IDCJAC0007,014015,1941,03,26.6,17,Y
IDCJAC0007,014015,1941,04,25.6,11,Y
IDCJAC0007,014015,1941,05,23.9,24,Y
IDCJAC0007,014015,1941,06,24.2,13,Y
IDCJAC0007,014015,1941,07,20.6,02,Y
IDCJAC0007,014015,1941,08,22.8,04,Y
IDCJAC0007,014015,1941,09,24.1,27,Y
IDCJAC0007,014015,1941,10,26.4,17,Y
IDCJAC0007,014015,1941,11,26.9,04,Y
IDCJAC0007,014015,1941,12,27.7,08,Y
IDCJAC0007,014015,1942,01,27.8,18,Y
IDCJAC0007,014015,1942,02,27.2,14,Y
IDCJAC0007,014015,1942,03,26.4,18,Y
IDCJAC0007,014015,1942,04,26.3,28,Y
IDCJAC0007,014015,1942,05,25.7,04,Y
IDCJAC0007,014015,1942,06,23.2,27,Y
IDCJAC0007,014015,1942,07,23.7,05,Y
IDCJAC0007,014015,1942,08,22.8,31,Y
IDCJAC0007,014015,1942,09,25.4,20,Y
IDCJAC0007,014015,1942,10,25.8,25,Y
IDCJAC0007,014015,1942,11,26.9,22,Y
IDCJAC0007,014015,1942,12,26.4,27,Y
IDCJAC0007,014015,1943,01,25.6,15,Y
IDCJAC0007,014015,1943,02,27.5,03,Y
IDCJAC0007,014015,1943,03,26.4,03,Y
IDCJAC0007,014015,1943,04,26.8,10,Y
IDCJAC0007,014015,1943,05,24.9,04,Y
IDCJAC0007,014015,1943,06,20.6,11,Y
IDCJAC0007,014015,1943,07,23.3,10,Y
IDCJAC0007,014015,1943,08,24.2,20,Y
IDCJAC0007,014015,1943,09,25.1,22,Y
IDCJAC0007,014015,1943,10,27.1,20,Y
IDCJAC0007,014015,1943,11,26.6,28,Y
IDCJAC0007,014015,1943,12,27.3,25,Y
IDCJAC0007,014015,1944,01,28.0,20,Y
IDCJAC0007,014015,1944,02,27.1,14,Y
IDCJAC0007,014015,1944,03,25.7,31,Y
IDCJAC0007,014015,1944,04,25.1,20,Y
IDCJAC0007,014015,1944,05,23.2,21,Y
IDCJAC0007,014015,1944,06,22.3,10,Y
IDCJAC0007,014015,1944,07,21.3,05,Y
IDCJAC0007,014015,1944,08,21.9,21,Y
IDCJAC0007,014015,1944,09,25.4,26,Y
IDCJAC0007,014015,1944,10,26.0,31,Y
IDCJAC0007,014015,1944,11,27.5,13,Y
IDCJAC0007,014015,1944,12,27.8,06,Y
IDCJAC0007,014015,1945,01,27.4,25,Y
IDCJAC0007,014015,1945,02,26.9,05,Y
IDCJAC0007,014015,1945,03,27.1,19,Y
IDCJAC0007,014015,1945,04,25.3,23,Y
IDCJAC0007,014015,1945,05,25.2,02,Y
IDCJAC0007,014015,1945,06,22.8,03,Y
IDCJAC0007,014015,1945,07,22.8,09,Y
IDCJAC0007,014015,1945,08,24.7,30,Y
IDCJAC0007,014015,1945,09,26.2,25,Y
IDCJAC0007,014015,1945,10,26.3,23,Y
IDCJAC0007,014015,1945,11,27.7,17,Y
IDCJAC0007,014015,1945,12,28.1,04,Y
IDCJAC0007,014015,1946,01,26.2,03,Y
IDCJAC0007,014015,1946,02,26.0,11,Y
IDCJAC0007,014015,1946,06,22.4,01,Y
IDCJAC0007,014015,1946,07,22.5,13,Y
IDCJAC0007,014015,1946,08,22.8,09,Y
IDCJAC0007,014015,1946,09,25.9,22,Y
