Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0007,069147,1998,,,18.0,27,17.0,14,15.0,07,14.0,19,12.0,04,10.0,06,12.0,08,15.0,23,17.0,18,15.0,27,19.0,14,
IDCJAC0007,069147,1999,20.0,08,17.0,04,16.0,26,16.0,05,13.0,25,11.0,07,11.0,13,15.0,29,13.0,30,17.0,15,15.0,06,19.0,08,20.0
IDCJAC0007,069147,2000,18.0,28,19.0,22,19.0,18,16.0,01,16.0,04,8.0,06,11.0,02,10.0,09,11.0,29,15.0,25,19.0,29,18.0,22,19.0
IDCJAC0007,069147,2001,21.0,25,20.0,28,17.0,19,15.0,08,13.0,10,11.0,16,12.0,10,11.0,29,15.0,25,16.0,24,16.0,24,18.0,03,21.0
IDCJAC0007,069147,2002,21.0,21,18.0,01,17.0,28,18.0,21,14.0,22,10.0,08,9.0,10,10.0,04,11.0,23,13.0,17,18.0,25,19.0,29,21.0
IDCJAC0007,069147,2003,19.0,17,20.0,23,18.0,16,15.0,28,15.0,18,10.0,21,9.0,31,13.0,24,15.0,24,15.0,25,18.0,21,19.0,18,20.0
IDCJAC0007,069147,2004,20.0,16,21.0,15,19.0,08,16.0,03,12.0,12,11.0,02,9.0,11,12.0,30,14.0,29,16.0,26,18.0,28,19.0,09,21.0
IDCJAC0007,069147,2005,19.0,30,21.0,01,19.0,12,19.0,08,13.0,07,11.0,11,10.0,01,11.0,31,13.0,11,17.0,29,17.0,08,19.0,28,21.0
IDCJAC0007,069147,2006,21.0,28,21.0,16,18.0,16,14.0,13,13.0,01,12.0,02,11.0,18,10.0,25,11.0,23,12.0,18,19.0,22,19.0,10,21.0
IDCJAC0007,069147,2007,20.0,19,20.0,05,19.0,21,15.0,04,15.0,18,12.0,29,9.0,20,10.0,31,13.0,27,16.0,26,16.0,30,20.0,22,20.0
IDCJAC0007,069147,2008,20.0,31,19.0,04,18.0,12,13.0,06,14.0,08,13.0,04,8.0,14,11.0,15,12.0,14,13.0,31,16.0,28,18.0,27,20.0
IDCJAC0007,069147,2009,19.0,28,20.0,02,19.0,24,20.0,01,14.0,23,13.0,06,11.0,04,10.0,25,14.0,13,15.0,23,19.0,27,20.0,16,20.0
IDCJAC0007,069147,2010,21.0,29,22.0,05,21.0,08,16.0,24,14.0,26,10.0,26,11.0,14,11.0,03,12.0,05,17.4,31,16.2,15,18.8,09,22.0
IDCJAC0007,069147,2011,21.6,13,22.4,03,19.4,23,13.7,30,13.2,02,10.4,14,11.9,20,12.1,17,14.3,29,15.8,23,18.8,30,18.0,19,22.4
IDCJAC0007,069147,2012,20.6,30,19.9,27,18.6,16,18.0,06,11.1,26,12.2,05,7.5,29,9.2,12,16.0,06,11.3,06,19.9,30,20.0,01,20.6
IDCJAC0007,069147,2013,18.9,26,20.4,23,18.5,14,16.2,15,11.2,17,11.7,02,11.8,19,11.7,30,13.9,17,14.7,10,18.6,21,19.6,23,20.4
IDCJAC0007,069147,2014,17.9,30,19.5,01,18.9,12,17.0,11,13.0,23,11.7,02,10.2,07,11.4,18,12.3,25,15.6,24,17.2,30,19.3,05,19.5
IDCJAC0007,069147,2015,20.7,03,20.8,19,18.0,01,15.2,18,13.2,03,11.1,18,8.8,14,10.8,27,9.7,17,18.2,21,15.8,21,18.5,09,20.8
IDCJAC0007,069147,2016,20.7,14,20.1,26,20.1,13,15.5,30,15.0,09,15.5,05,11.9,07,11.9,31,15.2,10,16.7,30,16.0,22,22.7,30,22.7
IDCJAC0007,069147,2017,21.9,31,20.5,06,21.3,15,14.5,22,12.7,20,10.4,09,8.7,20,13.5,17,13.0,25,17.1,29,17.3,27,20.0,30,21.9
IDCJAC0007,069147,2018,22.5,28,20.6,10,18.0,25,17.0,06,15.9,04,11.3,03,11.1,09,6.6,31,12.5,11,,,,,,,
