Product code,Station number,Year,Month,Lowest maximum temperature (°C),Day,Quality
IDCJAC0006,031108,1968,08,22.5,03,Y
IDCJAC0006,031108,1968,09,23.1,01,Y
IDCJAC0006,031108,1968,10,24.3,14,Y
IDCJAC0006,031108,1968,11,25.7,02,Y
IDCJAC0006,031108,1968,12,25.0,08,Y
IDCJAC0006,031108,1969,01,22.6,22,Y
IDCJAC0006,031108,1969,02,25.0,20,Y
IDCJAC0006,031108,1969,03,25.3,05,Y
IDCJAC0006,031108,1969,04,22.7,27,Y
IDCJAC0006,031108,1969,05,21.0,09,Y
IDCJAC0006,031108,1969,06,18.3,27,Y
IDCJAC0006,031108,1969,07,20.5,28,Y
IDCJAC0006,031108,1969,08,21.7,02,Y
IDCJAC0006,031108,1969,09,23.6,03,Y
IDCJAC0006,031108,1969,10,24.8,05,Y
IDCJAC0006,031108,1969,11,24.4,24,Y
IDCJAC0006,031108,1969,12,26.6,27,Y
IDCJAC0006,031108,1970,01,28.8,21,Y
IDCJAC0006,031108,1970,02,24.9,12,Y
IDCJAC0006,031108,1970,03,24.4,16,Y
IDCJAC0006,031108,1970,04,24.6,16,Y
IDCJAC0006,031108,1970,05,22.4,24,Y
IDCJAC0006,031108,1970,06,20.3,17,Y
IDCJAC0006,031108,1970,07,19.9,13,Y
IDCJAC0006,031108,1970,08,17.9,07,Y
IDCJAC0006,031108,1970,09,23.0,17,Y
IDCJAC0006,031108,1970,10,24.8,11,Y
IDCJAC0006,031108,1970,11,23.9,23,Y
IDCJAC0006,031108,1970,12,25.1,02,Y
IDCJAC0006,031108,1971,01,28.3,07,Y
IDCJAC0006,031108,1971,02,25.4,16,Y
IDCJAC0006,031108,1971,03,24.0,31,Y
IDCJAC0006,031108,1971,04,22.1,10,Y
IDCJAC0006,031108,1971,05,23.2,17,Y
IDCJAC0006,031108,1971,06,17.4,26,Y
IDCJAC0006,031108,1971,07,18.3,11,Y
IDCJAC0006,031108,1971,08,23.0,17,Y
IDCJAC0006,031108,1971,09,24.2,06,Y
IDCJAC0006,031108,1971,10,25.9,30,Y
IDCJAC0006,031108,1971,11,26.9,02,Y
IDCJAC0006,031108,1971,12,26.3,24,Y
IDCJAC0006,031108,1972,01,23.9,08,Y
IDCJAC0006,031108,1972,02,24.9,05,Y
IDCJAC0006,031108,1972,03,20.4,26,Y
IDCJAC0006,031108,1972,04,20.5,14,Y
IDCJAC0006,031108,1972,05,19.9,21,Y
IDCJAC0006,031108,1972,06,17.6,13,Y
IDCJAC0006,031108,1972,07,19.9,03,Y
IDCJAC0006,031108,1972,08,21.7,29,Y
IDCJAC0006,031108,1972,09,19.2,04,Y
IDCJAC0006,031108,1972,10,26.1,08,Y
IDCJAC0006,031108,1972,11,27.2,29,Y
IDCJAC0006,031108,1972,12,25.6,03,Y
IDCJAC0006,031108,1973,01,28.3,29,Y
IDCJAC0006,031108,1973,02,27.0,23,Y
IDCJAC0006,031108,1973,03,23.0,05,Y
IDCJAC0006,031108,1973,04,22.4,13,Y
IDCJAC0006,031108,1973,05,22.1,19,Y
IDCJAC0006,031108,1973,06,22.1,27,Y
IDCJAC0006,031108,1973,07,20.3,03,Y
IDCJAC0006,031108,1973,08,20.5,20,Y
IDCJAC0006,031108,1973,09,21.0,08,Y
IDCJAC0006,031108,1973,10,19.2,28,Y
IDCJAC0006,031108,1973,11,23.5,19,Y
IDCJAC0006,031108,1973,12,23.3,11,Y
IDCJAC0006,031108,1974,01,23.4,19,Y
IDCJAC0006,031108,1974,02,23.4,10,Y
IDCJAC0006,031108,1974,03,23.5,19,Y
IDCJAC0006,031108,1974,04,24.6,10,Y
IDCJAC0006,031108,1974,05,22.2,25,Y
IDCJAC0006,031108,1974,06,16.5,18,Y
IDCJAC0006,031108,1974,07,20.0,14,Y
IDCJAC0006,031108,1974,08,21.2,12,Y
IDCJAC0006,031108,1974,09,22.4,04,Y
IDCJAC0006,031108,1974,10,24.2,20,Y
IDCJAC0006,031108,1974,11,26.8,22,Y
IDCJAC0006,031108,1974,12,25.6,31,Y
IDCJAC0006,031108,1975,01,23.5,16,Y
IDCJAC0006,031108,1975,02,23.3,09,Y
IDCJAC0006,031108,1975,03,26.5,28,Y
IDCJAC0006,031108,1975,04,21.4,26,Y
IDCJAC0006,031108,1975,05,21.2,29,Y
IDCJAC0006,031108,1975,06,15.4,22,Y
IDCJAC0006,031108,1975,07,21.7,05,Y
IDCJAC0006,031108,1975,08,20.3,15,Y
IDCJAC0006,031108,1975,09,14.9,07,Y
IDCJAC0006,031108,1975,10,23.4,06,Y
IDCJAC0006,031108,1975,11,25.3,19,Y
IDCJAC0006,031108,1975,12,23.5,09,Y
IDCJAC0006,031108,1976,01,22.2,03,Y
IDCJAC0006,031108,1976,02,25.3,14,Y
IDCJAC0006,031108,1976,03,26.3,31,Y
IDCJAC0006,031108,1976,04,21.4,24,Y
IDCJAC0006,031108,1976,05,18.3,29,Y
IDCJAC0006,031108,1976,06,20.5,17,Y
IDCJAC0006,031108,1976,07,18.0,16,Y
IDCJAC0006,031108,1976,08,20.3,16,Y
IDCJAC0006,031108,1976,09,24.0,30,Y
IDCJAC0006,031108,1976,10,23.0,01,Y
IDCJAC0006,031108,1976,11,29.4,07,Y
IDCJAC0006,031108,1976,12,25.2,18,Y
IDCJAC0006,031108,1977,01,25.0,31,Y
IDCJAC0006,031108,1977,02,23.0,09,Y
IDCJAC0006,031108,1977,03,23.5,09,Y
IDCJAC0006,031108,1977,04,22.4,13,Y
IDCJAC0006,031108,1977,05,22.2,30,Y
IDCJAC0006,031108,1977,06,18.1,02,Y
IDCJAC0006,031108,1977,07,18.6,02,Y
IDCJAC0006,031108,1977,08,20.8,15,Y
IDCJAC0006,031108,1977,09,21.6,26,Y
IDCJAC0006,031108,1977,10,23.9,10,Y
IDCJAC0006,031108,1977,11,24.9,26,Y
IDCJAC0006,031108,1977,12,24.5,22,Y
IDCJAC0006,031108,1978,01,25.7,14,Y
IDCJAC0006,031108,1978,02,24.6,26,Y
IDCJAC0006,031108,1978,03,25.2,14,Y
IDCJAC0006,031108,1978,04,23.3,29,Y
IDCJAC0006,031108,1978,05,19.3,13,Y
IDCJAC0006,031108,1978,06,20.0,13,Y
IDCJAC0006,031108,1978,07,20.6,05,Y
IDCJAC0006,031108,1978,08,20.4,04,Y
IDCJAC0006,031108,1978,09,23.6,16,Y
IDCJAC0006,031108,1978,10,22.1,09,Y
IDCJAC0006,031108,1978,11,25.5,26,Y
IDCJAC0006,031108,1978,12,25.3,08,Y
IDCJAC0006,031108,1979,01,22.3,03,Y
IDCJAC0006,031108,1979,02,25.0,02,Y
IDCJAC0006,031108,1979,03,24.9,14,Y
IDCJAC0006,031108,1979,04,21.3,14,Y
IDCJAC0006,031108,1979,05,20.2,16,Y
IDCJAC0006,031108,1979,06,18.5,19,Y
