Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0006,031108,1968,,,,,,,,,,,,,,,22.5,03,23.1,01,24.3,14,25.7,02,25.0,08,
IDCJAC0006,031108,1969,22.6,22,25.0,20,25.3,05,22.7,27,21.0,09,18.3,27,20.5,28,21.7,02,23.6,03,24.8,05,24.4,24,26.6,27,18.3
IDCJAC0006,031108,1970,28.8,21,24.9,12,24.4,16,24.6,16,22.4,24,20.3,17,19.9,13,17.9,07,23.0,17,24.8,11,23.9,23,25.1,02,17.9
IDCJAC0006,031108,1971,28.3,07,25.4,16,24.0,31,22.1,10,23.2,17,17.4,26,18.3,11,23.0,17,24.2,06,25.9,30,26.9,02,26.3,24,17.4
IDCJAC0006,031108,1972,23.9,08,24.9,05,20.4,26,20.5,14,19.9,21,17.6,13,19.9,03,21.7,29,19.2,04,26.1,08,27.2,29,25.6,03,17.6
IDCJAC0006,031108,1973,28.3,29,27.0,23,23.0,05,22.4,13,22.1,19,22.1,27,20.3,03,20.5,20,21.0,08,19.2,28,23.5,19,23.3,11,19.2
IDCJAC0006,031108,1974,23.4,19,23.4,10,23.5,19,24.6,10,22.2,25,16.5,18,20.0,14,21.2,12,22.4,04,24.2,20,26.8,22,25.6,31,16.5
IDCJAC0006,031108,1975,23.5,16,23.3,09,26.5,28,21.4,26,21.2,29,15.4,22,21.7,05,20.3,15,14.9,07,23.4,06,25.3,19,23.5,09,14.9
IDCJAC0006,031108,1976,22.2,03,25.3,14,26.3,31,21.4,24,18.3,29,20.5,17,18.0,16,20.3,16,24.0,30,23.0,01,29.4,07,25.2,18,18.0
IDCJAC0006,031108,1977,25.0,31,23.0,09,23.5,09,22.4,13,22.2,30,18.1,02,18.6,02,20.8,15,21.6,26,23.9,10,24.9,26,24.5,22,18.1
IDCJAC0006,031108,1978,25.7,14,24.6,26,25.2,14,23.3,29,19.3,13,20.0,13,20.6,05,20.4,04,23.6,16,22.1,09,25.5,26,25.3,08,19.3
IDCJAC0006,031108,1979,22.3,03,25.0,02,24.9,14,21.3,14,20.2,16,18.5,19,18.4,16,19.1,15,21.9,03,24.5,03,25.7,04,26.9,30,18.4
IDCJAC0006,031108,1980,27.4,06,27.4,14,25.3,17,23.6,30,22.0,22,20.6,23,21.4,23,21.0,11,25.2,29,25.3,05,27.2,11,26.2,20,20.6
IDCJAC0006,031108,1981,22.0,11,23.3,26,25.6,26,23.7,27,17.5,21,21.2,22,19.8,11,22.8,03,21.5,07,23.5,06,25.1,08,27.1,16,17.5
IDCJAC0006,031108,1982,26.2,28,26.1,06,25.7,25,21.6,30,19.3,01,19.0,05,19.7,15,17.9,09,22.6,02,23.5,02,24.5,04,25.5,24,17.9
IDCJAC0006,031108,1983,27.9,27,28.0,21,23.7,07,24.0,28,20.4,12,19.9,12,17.5,09,17.6,05,23.9,01,25.5,09,26.5,25,26.0,09,17.5
