Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0008,014015,1941,,,19.9,16,19.3,15,22.2,29,18.3,25,14.0,24,16.2,19,15.2,15,19.4,05,21.0,14,20.7,06,20.3,24,
IDCJAC0008,014015,1942,21.7,28,17.5,18,22.2,07,18.4,07,19.8,17,19.2,08,10.4,29,14.4,12,19.2,04,21.6,20,21.0,05,22.1,20,10.4
IDCJAC0008,014015,1943,21.7,06,21.4,24,21.5,11,16.0,11,16.7,24,14.2,17,15.8,23,16.3,29,18.9,02,21.1,22,20.9,13,20.9,08,14.2
IDCJAC0008,014015,1944,20.7,21,21.1,10,20.2,01,19.4,24,17.7,17,17.2,01,14.9,14,16.6,01,20.3,01,20.7,06,20.1,04,22.9,27,14.9
IDCJAC0008,014015,1945,21.6,03,21.8,14,19.2,31,16.3,11,17.5,18,15.3,13,13.2,16,19.6,04,21.3,03,20.3,26,19.7,12,20.5,12,13.2
IDCJAC0008,014015,1946,21.7,22,21.9,07,,,,,,,15.6,23,16.1,06,17.8,31,17.7,01,21.9,02,20.7,21,22.7,31,
IDCJAC0008,014015,1947,21.4,05,20.8,14,22.7,15,18.9,29,18.4,29,16.8,11,17.9,31,18.7,01,20.8,26,22.6,25,22.0,22,22.9,27,16.8
IDCJAC0008,014015,1948,22.4,25,22.3,07,21.6,12,17.6,14,19.9,17,14.5,17,16.7,04,15.6,26,19.4,04,22.9,22,22.1,29,21.6,10,14.5
IDCJAC0008,014015,1949,21.1,10,17.2,25,22.1,13,18.8,27,15.1,08,12.9,18,14.5,24,16.5,03,20.8,16,23.8,11,22.6,21,21.3,07,12.9
IDCJAC0008,014015,1950,22.3,16,21.0,21,20.8,01,20.7,07,20.2,06,14.8,25,15.5,18,17.4,05,19.0,01,21.7,13,19.3,04,21.4,16,14.8
IDCJAC0008,014015,1951,21.2,08,21.1,28,21.3,08,20.5,30,18.1,14,17.1,29,14.1,22,17.4,15,20.7,01,22.7,26,20.6,09,21.8,04,14.1
IDCJAC0008,014015,1952,22.6,13,23.4,13,22.1,16,18.3,30,16.8,01,16.7,30,16.2,10,15.3,08,21.1,13,20.9,07,22.1,11,21.1,12,15.3
IDCJAC0008,014015,1953,21.3,21,21.3,18,20.7,05,22.6,01,16.8,29,15.4,27,15.7,14,13.9,06,19.1,01,23.7,01,20.0,09,21.2,15,13.9
IDCJAC0008,014015,1954,21.7,13,22.6,21,21.7,11,22.7,26,18.9,24,15.2,05,14.2,13,16.4,16,18.5,10,20.5,21,21.7,21,21.6,22,14.2
IDCJAC0008,014015,1955,22.1,17,21.8,23,21.9,06,21.4,26,18.0,08,19.0,09,16.3,05,20.4,03,22.1,12,24.0,31,20.8,01,21.6,10,16.3
IDCJAC0008,014015,1956,20.8,04,21.5,12,21.8,20,22.7,23,18.9,31,15.7,03,15.6,02,16.3,07,17.9,15,22.1,17,21.7,25,21.2,09,15.6
IDCJAC0008,014015,1957,20.9,18,21.7,08,21.5,27,22.4,03,17.3,22,19.3,27,16.7,03,13.9,16,20.4,05,22.0,02,22.6,10,21.5,31,13.9
IDCJAC0008,014015,1958,21.1,01,21.1,10,22.7,11,21.8,27,21.3,09,17.4,11,16.3,02,16.7,30,17.2,07,22.2,12,21.3,17,21.2,25,16.3
IDCJAC0008,014015,1959,20.4,16,22.2,25,21.6,27,21.1,28,16.7,27,14.8,29,16.3,17,17.2,17,21.5,02,21.6,15,21.3,21,21.1,24,14.8
IDCJAC0008,014015,1960,21.7,26,21.8,27,20.0,22,21.8,09,16.2,21,14.2,28,15.5,13,16.1,12,20.6,01,19.6,26,22.6,01,22.1,02,14.2
IDCJAC0008,014015,1961,21.1,11,22.1,02,21.4,11,21.7,14,18.2,23,16.2,21,14.7,18,15.2,27,20.9,01,20.9,24,20.2,04,21.8,18,14.7
IDCJAC0008,014015,1962,22.1,05,21.7,22,22.8,03,20.6,13,17.3,12,18.8,13,16.1,30,16.4,24,18.2,10,21.9,28,21.3,26,21.5,17,16.1
IDCJAC0008,014015,1963,22.8,15,22.3,14,21.0,27,20.3,30,18.4,23,12.1,23,13.9,13,13.6,11,16.7,09,22.8,14,21.8,16,21.3,30,12.1
IDCJAC0008,014015,1964,22.1,26,20.0,01,22.5,23,21.9,17,15.1,14,14.3,12,14.1,06,15.4,03,20.4,13,20.4,27,22.0,27,21.1,27,14.1
IDCJAC0008,014015,1965,20.6,28,20.0,15,21.7,02,18.9,27,17.2,29,13.9,26,10.8,20,14.9,08,20.7,02,22.2,11,21.1,22,22.6,24,10.8
IDCJAC0008,014015,1966,22.7,08,23.2,06,21.3,06,20.9,04,17.1,25,16.4,16,14.1,21,16.7,01,21.8,06,19.4,08,21.7,19,21.9,15,14.1
IDCJAC0008,014015,1967,21.8,31,21.4,01,21.6,24,22.4,14,14.2,28,13.1,26,14.4,04,16.2,06,18.7,08,23.4,01,21.2,10,21.7,05,13.1
IDCJAC0008,014015,1968,21.6,12,21.7,09,21.6,02,21.9,02,17.2,29,17.8,09,15.1,24,16.1,17,20.3,02,22.9,15,22.8,25,22.2,22,15.1
IDCJAC0008,014015,1969,22.2,28,22.8,06,23.5,04,18.3,18,18.6,19,16.1,12,17.0,25,18.3,19,18.0,22,22.1,26,24.1,18,21.9,26,16.1
IDCJAC0008,014015,1970,21.3,13,21.2,20,21.8,25,19.7,02,16.7,23,18.6,30,13.6,25,16.4,10,18.6,02,21.6,22,22.3,16,21.7,20,13.6
