Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,031108,1968,08,26.7,Y
IDCJAC0002,031108,1968,09,26.4,Y
IDCJAC0002,031108,1968,10,28.7,Y
IDCJAC0002,031108,1968,11,31.9,Y
IDCJAC0002,031108,1968,12,30.5,Y
IDCJAC0002,031108,1969,01,29.5,Y
IDCJAC0002,031108,1969,02,29.2,Y
IDCJAC0002,031108,1969,03,27.8,Y
IDCJAC0002,031108,1969,04,26.6,Y
IDCJAC0002,031108,1969,05,25.7,Y
IDCJAC0002,031108,1969,06,23.6,Y
IDCJAC0002,031108,1969,07,22.3,Y
IDCJAC0002,031108,1969,08,24.3,Y
IDCJAC0002,031108,1969,09,27.5,Y
IDCJAC0002,031108,1969,10,28.2,Y
IDCJAC0002,031108,1969,11,32.4,Y
IDCJAC0002,031108,1969,12,31.9,Y
IDCJAC0002,031108,1970,01,31.5,Y
IDCJAC0002,031108,1970,02,28.9,Y
IDCJAC0002,031108,1970,03,29.0,Y
IDCJAC0002,031108,1970,04,27.2,Y
IDCJAC0002,031108,1970,05,25.2,Y
IDCJAC0002,031108,1970,06,23.8,Y
IDCJAC0002,031108,1970,07,22.8,Y
IDCJAC0002,031108,1970,08,24.8,Y
IDCJAC0002,031108,1970,09,27.4,Y
IDCJAC0002,031108,1970,10,28.5,Y
IDCJAC0002,031108,1970,11,29.2,Y
IDCJAC0002,031108,1970,12,29.6,Y
IDCJAC0002,031108,1971,01,31.4,Y
IDCJAC0002,031108,1971,02,29.2,Y
IDCJAC0002,031108,1971,03,26.5,Y
IDCJAC0002,031108,1971,04,24.8,Y
IDCJAC0002,031108,1971,05,25.2,Y
IDCJAC0002,031108,1971,06,22.4,Y
IDCJAC0002,031108,1971,07,22.5,Y
IDCJAC0002,031108,1971,08,26.7,Y
IDCJAC0002,031108,1971,09,28.2,Y
IDCJAC0002,031108,1971,10,31.6,Y
IDCJAC0002,031108,1971,11,33.0,Y
IDCJAC0002,031108,1971,12,31.2,Y
IDCJAC0002,031108,1972,01,29.8,Y
IDCJAC0002,031108,1972,02,29.1,Y
IDCJAC0002,031108,1972,03,26.5,Y
IDCJAC0002,031108,1972,04,25.4,Y
IDCJAC0002,031108,1972,05,22.8,Y
IDCJAC0002,031108,1972,06,22.2,Y
IDCJAC0002,031108,1972,07,23.0,Y
IDCJAC0002,031108,1972,08,25.6,Y
IDCJAC0002,031108,1972,09,24.5,Y
IDCJAC0002,031108,1972,10,29.7,Y
IDCJAC0002,031108,1972,11,30.5,Y
IDCJAC0002,031108,1972,12,30.4,Y
IDCJAC0002,031108,1973,01,32.1,Y
IDCJAC0002,031108,1973,02,29.8,Y
IDCJAC0002,031108,1973,03,27.9,Y
IDCJAC0002,031108,1973,04,25.8,Y
IDCJAC0002,031108,1973,05,25.2,Y
IDCJAC0002,031108,1973,06,25.2,Y
IDCJAC0002,031108,1973,07,24.4,Y
IDCJAC0002,031108,1973,08,25.1,Y
IDCJAC0002,031108,1973,09,26.4,Y
IDCJAC0002,031108,1973,10,28.5,Y
IDCJAC0002,031108,1973,11,29.0,Y
IDCJAC0002,031108,1973,12,28.8,Y
IDCJAC0002,031108,1974,01,27.7,Y
IDCJAC0002,031108,1974,02,27.7,Y
IDCJAC0002,031108,1974,03,27.2,Y
IDCJAC0002,031108,1974,04,27.2,Y
IDCJAC0002,031108,1974,05,24.7,Y
IDCJAC0002,031108,1974,06,23.3,Y
IDCJAC0002,031108,1974,07,24.1,Y
IDCJAC0002,031108,1974,08,26.2,Y
IDCJAC0002,031108,1974,09,26.4,Y
IDCJAC0002,031108,1974,10,28.7,Y
IDCJAC0002,031108,1974,11,30.8,Y
IDCJAC0002,031108,1974,12,31.2,Y
IDCJAC0002,031108,1975,01,29.3,Y
IDCJAC0002,031108,1975,02,26.9,Y
IDCJAC0002,031108,1975,03,28.0,Y
IDCJAC0002,031108,1975,04,26.0,Y
IDCJAC0002,031108,1975,05,24.2,Y
IDCJAC0002,031108,1975,06,22.3,Y
IDCJAC0002,031108,1975,07,24.3,Y
IDCJAC0002,031108,1975,08,25.1,Y
IDCJAC0002,031108,1975,09,25.7,Y
IDCJAC0002,031108,1975,10,28.5,Y
IDCJAC0002,031108,1975,11,30.6,Y
IDCJAC0002,031108,1975,12,28.1,Y
IDCJAC0002,031108,1976,01,28.7,Y
IDCJAC0002,031108,1976,02,27.8,Y
IDCJAC0002,031108,1976,03,28.5,Y
IDCJAC0002,031108,1976,04,25.2,Y
IDCJAC0002,031108,1976,05,24.1,Y
IDCJAC0002,031108,1976,06,23.1,Y
IDCJAC0002,031108,1976,07,22.5,Y
IDCJAC0002,031108,1976,08,24.0,Y
IDCJAC0002,031108,1976,09,27.6,Y
IDCJAC0002,031108,1976,10,30.6,Y
IDCJAC0002,031108,1976,11,32.0,Y
IDCJAC0002,031108,1976,12,30.4,Y
IDCJAC0002,031108,1977,01,28.8,Y
IDCJAC0002,031108,1977,02,28.1,Y
IDCJAC0002,031108,1977,03,27.9,Y
IDCJAC0002,031108,1977,04,25.6,Y
IDCJAC0002,031108,1977,05,25.0,Y
IDCJAC0002,031108,1977,06,22.0,Y
IDCJAC0002,031108,1977,07,21.7,Y
IDCJAC0002,031108,1977,08,23.4,Y
IDCJAC0002,031108,1977,09,25.6,Y
IDCJAC0002,031108,1977,10,27.3,Y
IDCJAC0002,031108,1977,11,30.4,Y
IDCJAC0002,031108,1977,12,31.2,Y
IDCJAC0002,031108,1978,01,29.4,Y
IDCJAC0002,031108,1978,02,29.3,Y
IDCJAC0002,031108,1978,03,29.1,Y
IDCJAC0002,031108,1978,04,27.1,Y
IDCJAC0002,031108,1978,05,25.1,Y
IDCJAC0002,031108,1978,06,25.4,Y
IDCJAC0002,031108,1978,07,24.3,Y
IDCJAC0002,031108,1978,08,24.6,Y
IDCJAC0002,031108,1978,09,27.2,Y
IDCJAC0002,031108,1978,10,26.6,Y
IDCJAC0002,031108,1978,11,28.9,Y
IDCJAC0002,031108,1978,12,30.7,Y
IDCJAC0002,031108,1979,01,27.5,Y
IDCJAC0002,031108,1979,02,27.8,Y
IDCJAC0002,031108,1979,03,28.4,Y
IDCJAC0002,031108,1979,04,25.6,Y
IDCJAC0002,031108,1979,05,24.6,Y
IDCJAC0002,031108,1979,06,22.8,Y
IDCJAC0002,031108,1979,07,21.9,Y
IDCJAC0002,031108,1979,08,24.8,Y
IDCJAC0002,031108,1979,09,25.9,Y
IDCJAC0002,031108,1979,10,29.7,Y
IDCJAC0002,031108,1979,11,30.2,Y
IDCJAC0002,031108,1979,12,32.3,Y
IDCJAC0002,031108,1980,01,31.8,Y
IDCJAC0002,031108,1980,02,30.3,Y
IDCJAC0002,031108,1980,03,27.4,Y
IDCJAC0002,031108,1980,04,26.5,Y
IDCJAC0002,031108,1980,05,25.1,Y
IDCJAC0002,031108,1980,06,24.2,Y
IDCJAC0002,031108,1980,07,23.9,Y
IDCJAC0002,031108,1980,08,23.4,Y
IDCJAC0002,031108,1980,09,26.2,Y
IDCJAC0002,031108,1980,10,29.7,Y
IDCJAC0002,031108,1980,11,30.6,Y
IDCJAC0002,031108,1980,12,30.2,Y
IDCJAC0002,031108,1981,01,27.7,Y
IDCJAC0002,031108,1981,02,29.3,Y
IDCJAC0002,031108,1981,03,28.5,Y
IDCJAC0002,031108,1981,04,26.7,Y
IDCJAC0002,031108,1981,05,24.0,Y
IDCJAC0002,031108,1981,06,24.4,Y
IDCJAC0002,031108,1981,07,23.4,Y
IDCJAC0002,031108,1981,08,27.3,Y
IDCJAC0002,031108,1981,09,25.2,Y
IDCJAC0002,031108,1981,10,27.7,Y
IDCJAC0002,031108,1981,11,30.6,Y
IDCJAC0002,031108,1981,12,30.9,Y
IDCJAC0002,031108,1982,01,30.0,Y
IDCJAC0002,031108,1982,02,29.7,Y
IDCJAC0002,031108,1982,03,28.2,Y
IDCJAC0002,031108,1982,04,25.2,Y
IDCJAC0002,031108,1982,05,24.2,Y
IDCJAC0002,031108,1982,06,22.6,Y
IDCJAC0002,031108,1982,07,22.5,Y
IDCJAC0002,031108,1982,08,21.1,Y
IDCJAC0002,031108,1982,09,26.6,Y
IDCJAC0002,031108,1982,10,28.6,Y
IDCJAC0002,031108,1982,11,29.3,Y
IDCJAC0002,031108,1982,12,31.2,Y
IDCJAC0002,031108,1983,01,31.9,Y
IDCJAC0002,031108,1983,02,31.1,Y
IDCJAC0002,031108,1983,03,28.5,Y
IDCJAC0002,031108,1983,04,27.3,Y
IDCJAC0002,031108,1983,05,24.8,Y
IDCJAC0002,031108,1983,06,22.7,Y
IDCJAC0002,031108,1983,07,22.5,Y
IDCJAC0002,031108,1983,08,23.4,Y
IDCJAC0002,031108,1983,09,27.5,Y
IDCJAC0002,031108,1983,10,29.7,Y
IDCJAC0002,031108,1983,11,30.0,Y
IDCJAC0002,031108,1983,12,28.5,Y
