Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,069147,1998,null,13.6,12.7,10.2,8.9,7.1,4.6,6.3,7.8,8.8,11.1,14.0,null
IDCJAC0004,069147,1999,16.5,12.9,11.6,9.8,6.8,5.3,2.7,4.3,7.4,10.6,9.1,13.1,9.2
IDCJAC0004,069147,2000,13.7,15.3,14.9,10.5,6.9,4.0,4.0,4.2,6.0,9.0,13.8,13.0,9.6
IDCJAC0004,069147,2001,16.0,16.0,13.1,10.3,8.2,4.9,6.7,5.3,8.3,8.7,10.9,13.0,10.1
IDCJAC0004,069147,2002,14.6,15.0,12.4,12.3,7.8,4.6,2.8,4.5,5.1,8.0,11.7,12.8,9.3
IDCJAC0004,069147,2003,14.4,15.6,12.8,12.1,9.1,5.2,3.9,3.6,5.1,7.5,10.9,14.1,9.5
IDCJAC0004,069147,2004,14.6,15.4,13.7,11.3,6.7,3.6,3.4,4.5,6.7,9.5,11.1,13.6,9.5
IDCJAC0004,069147,2005,14.4,13.9,12.9,11.4,7.8,5.2,4.7,4.1,6.8,9.9,13.2,12.8,9.8
IDCJAC0004,069147,2006,16.2,15.0,13.4,8.9,7.2,5.4,5.2,4.5,7.0,7.7,10.3,12.5,9.4
IDCJAC0004,069147,2007,14.2,15.7,13.8,11.3,8.2,6.8,4.4,5.8,6.1,9.2,12.6,14.2,10.2
IDCJAC0004,069147,2008,15.6,14.5,12.5,9.4,7.4,7.1,3.4,4.6,5.7,7.9,11.1,12.8,9.3
IDCJAC0004,069147,2009,13.5,14.8,13.1,11.1,7.2,6.6,3.8,4.2,8.1,7.8,14.1,14.4,9.9
IDCJAC0004,069147,2010,15.8,16.9,13.6,11.1,7.5,6.0,3.6,4.1,5.9,9.7,12.1,14.2,10.0
IDCJAC0004,069147,2011,16.6,16.5,14.7,10.7,7.2,5.7,3.8,6.4,7.2,9.1,13.6,12.3,10.3
IDCJAC0004,069147,2012,15.3,15.1,13.1,11.4,6.5,5.6,4.0,3.7,6.8,7.8,12.4,13.7,9.6
IDCJAC0004,069147,2013,14.9,16.0,13.7,10.9,7.6,6.3,4.0,5.0,8.1,8.3,11.1,14.0,10.0
IDCJAC0004,069147,2014,14.5,15.0,15.1,12.3,8.3,7.1,4.4,5.7,7.3,10.1,11.9,14.9,10.6
IDCJAC0004,069147,2015,16.4,16.0,12.6,11.6,7.3,5.0,4.6,5.0,6.6,11.6,12.7,14.0,10.3
IDCJAC0004,069147,2016,16.3,16.3,15.7,11.4,8.4,6.5,5.8,4.6,8.3,8.3,10.9,15.1,10.6
IDCJAC0004,069147,2017,16.0,14.9,16.2,10.4,7.3,5.1,3.0,4.7,6.4,9.9,11.9,15.6,10.1
IDCJAC0004,069147,2018,17.2,15.0,14.0,11.6,6.9,5.8,3.6,3.4,5.7,null,null,null,null
