Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,075041,1970,08,4.2,Y
IDCJAC0004,075041,1970,09,4.3,Y
IDCJAC0004,075041,1970,10,8.1,Y
IDCJAC0004,075041,1970,11,11.0,Y
IDCJAC0004,075041,1970,12,14.7,Y
IDCJAC0004,075041,1971,01,16.6,Y
IDCJAC0004,075041,1971,02,16.5,Y
IDCJAC0004,075041,1971,03,16.4,Y
IDCJAC0004,075041,1971,04,11.1,Y
IDCJAC0004,075041,1971,05,6.9,Y
IDCJAC0004,075041,1971,06,1.2,Y
IDCJAC0004,075041,1971,08,2.1,Y
IDCJAC0004,075041,1971,09,4.8,Y
IDCJAC0004,075041,1971,10,7.3,Y
IDCJAC0004,075041,1971,11,10.1,Y
IDCJAC0004,075041,1971,12,13.5,Y
IDCJAC0004,075041,1972,01,15.2,Y
IDCJAC0004,075041,1972,03,10.7,Y
IDCJAC0004,075041,1972,04,7.0,Y
IDCJAC0004,075041,1972,05,5.8,Y
IDCJAC0004,075041,1972,06,1.6,Y
IDCJAC0004,075041,1972,07,1.3,Y
IDCJAC0004,075041,1972,08,4.3,Y
IDCJAC0004,075041,1972,09,5.8,Y
IDCJAC0004,075041,1972,10,10.3,Y
IDCJAC0004,075041,1972,11,13.4,Y
IDCJAC0004,075041,1972,12,16.7,Y
IDCJAC0004,075041,1973,01,19.8,Y
IDCJAC0004,075041,1973,02,19.1,Y
IDCJAC0004,075041,1973,03,12.3,Y
IDCJAC0004,075041,1973,04,11.4,Y
IDCJAC0004,075041,1973,06,3.3,Y
IDCJAC0004,075041,1973,07,4.0,Y
IDCJAC0004,075041,1973,08,3.4,Y
IDCJAC0004,075041,1973,09,5.9,Y
IDCJAC0004,075041,1974,02,15.0,Y
IDCJAC0004,075041,1974,03,16.0,Y
IDCJAC0004,075041,1974,04,13.0,Y
IDCJAC0004,075041,1974,05,8.1,Y
IDCJAC0004,075041,1974,06,2.3,Y
IDCJAC0004,075041,1974,07,2.8,Y
IDCJAC0004,075041,1974,08,3.8,Y
IDCJAC0004,075041,1974,09,4.8,Y
IDCJAC0004,075041,1974,10,8.2,Y
IDCJAC0004,075041,1974,11,9.8,Y
IDCJAC0004,075041,1974,12,9.1,Y
IDCJAC0004,075041,1975,01,13.3,Y
IDCJAC0004,075041,1975,02,17.6,Y
IDCJAC0004,075041,1975,03,13.1,Y
IDCJAC0004,075041,1975,04,9.4,Y
IDCJAC0004,075041,1975,05,6.6,Y
IDCJAC0004,075041,1975,06,3.1,Y
IDCJAC0004,075041,1975,07,5.3,Y
IDCJAC0004,075041,1975,08,3.0,Y
IDCJAC0004,075041,1975,09,7.8,Y
IDCJAC0004,075041,1975,10,8.6,Y
IDCJAC0004,075041,1975,11,12.9,Y
IDCJAC0004,075041,1975,12,17.4,Y
IDCJAC0004,075041,1976,01,16.3,Y
IDCJAC0004,075041,1976,02,18.4,Y
IDCJAC0004,075041,1976,03,15.1,Y
IDCJAC0004,075041,1976,04,9.4,Y
IDCJAC0004,075041,1976,05,4.5,Y
IDCJAC0004,075041,1977,02,19.1,Y
IDCJAC0004,075041,1977,03,12.6,Y
IDCJAC0004,075041,1977,04,7.1,Y
IDCJAC0004,075041,1977,05,6.8,Y
IDCJAC0004,075041,1977,06,3.4,Y
IDCJAC0004,075041,1977,07,0.9,Y
IDCJAC0004,075041,1977,08,3.4,Y
IDCJAC0004,075041,1977,09,5.2,Y
IDCJAC0004,075041,1977,10,10.9,Y
IDCJAC0004,075041,1977,11,12.4,Y
IDCJAC0004,075041,1977,12,13.7,Y
IDCJAC0004,075041,1978,01,16.8,Y
IDCJAC0004,075041,1978,02,16.0,Y
IDCJAC0004,075041,1978,03,15.0,Y
