Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,031108,1990,26.0,26.1,14.2,17.3,11.5,12.9,12.4,19.4,19.3,25.0,26.0,19.1,19.1
IDCJAC0003,031108,1991,17.3,14.9,23.2,16.9,15.7,15.9,15.9,15.9,23.5,26.0,24.1,25.4,19.6
IDCJAC0003,031108,1992,24.2,20.2,22.6,18.4,15.4,16.8,14.4,18.7,22.1,24.7,25.8,19.2,20.2
IDCJAC0003,031108,1993,21.2,18.1,23.7,16.4,15.3,13.9,13.5,16.5,19.3,24.9,25.1,21.2,19.1
IDCJAC0003,031108,1994,22.9,16.1,16.9,16.7,12.7,13.3,16.0,20.9,23.1,25.2,25.8,23.4,19.4
IDCJAC0003,031108,1995,24.4,17.3,16.2,21.5,14.0,15.8,17.8,14.8,24.0,25.1,25.6,24.2,20.1
IDCJAC0003,031108,1996,20.1,22.0,18.7,18.9,15.5,16.9,18.9,19.5,25.6,23.8,25.3,22.2,20.6
IDCJAC0003,031108,1997,20.5,20.6,18.2,21.2,18.5,15.5,16.0,18.9,23.5,25.6,24.5,21.5,20.4
IDCJAC0003,031108,1998,19.3,21.9,20.2,20.7,15.6,16.9,15.9,19.6,21.9,23.2,21.3,23.9,20.0
IDCJAC0003,031108,1999,19.6,17.9,17.7,17.0,18.2,15.2,16.9,18.1,23.4,25.3,17.8,21.8,19.1
IDCJAC0003,031108,2000,23.7,16.6,20.1,17.5,17.5,14.3,18.7,20.8,21.9,20.1,21.2,19.6,19.3
IDCJAC0003,031108,2001,23.2,15.7,23.5,19.8,19.6,14.4,18.1,19.4,22.4,23.8,23.6,24.3,20.6
IDCJAC0003,031108,2002,23.3,20.0,23.3,20.2,18.6,17.4,16.4,18.3,25.0,26.4,26.4,24.3,21.6
IDCJAC0003,031108,2003,21.3,19.4,20.8,19.9,17.5,14.9,15.9,17.4,24.8,24.7,25.5,23.7,20.5
IDCJAC0003,031108,2004,22.7,18.8,19.5,17.2,16.1,16.2,16.3,21.2,22.2,26.0,25.6,22.8,20.4
IDCJAC0003,031108,2005,22.2,25.2,19.6,18.5,16.4,14.5,16.2,16.8,23.6,24.6,27.4,null,null
IDCJAC0003,031108,2006,19.0,23.4,19.0,15.9,16.8,17.4,17.7,21.9,23.5,26.6,26.8,24.1,21.0
IDCJAC0003,031108,2007,20.0,17.3,22.5,21.0,17.1,13.0,18.7,17.9,23.7,24.6,23.4,24.1,20.3
IDCJAC0003,031108,2008,19.3,17.2,20.4,22.3,18.6,16.1,16.6,20.2,21.8,25.4,23.9,22.9,20.4
IDCJAC0003,031108,2009,16.7,17.4,24.1,20.9,16.4,17.3,18.2,21.2,23.6,24.1,24.0,24.8,20.7
IDCJAC0003,031108,2010,16.4,20.9,20.7,16.9,18.3,17.4,15.3,19.3,19.9,23.0,21.5,20.6,19.2
IDCJAC0003,031108,2011,19.9,18.1,16.6,19.2,17.9,16.7,16.9,19.5,23.3,22.9,25.4,21.7,19.8
IDCJAC0003,031108,2012,23.9,19.8,15.8,20.5,16.8,17.2,17.8,21.3,23.3,25.8,26.2,26.8,21.3
IDCJAC0003,031108,2013,21.8,23.3,20.2,19.7,17.0,16.4,16.3,21.5,23.5,25.0,20.5,25.6,20.9
IDCJAC0003,031108,2014,21.1,17.4,19.5,18.9,17.8,15.1,18.2,19.5,23.6,26.4,26.0,22.7,20.5
IDCJAC0003,031108,2015,20.5,19.8,21.6,20.1,18.6,15.7,17.6,20.6,22.4,24.2,24.3,20.0,20.4
IDCJAC0003,031108,2016,22.3,22.6,19.5,19.4,16.5,16.0,16.4,18.3,20.3,24.4,26.0,23.9,20.5
IDCJAC0003,031108,2017,21.7,21.2,21.0,19.3,17.3,15.1,17.1,19.6,22.7,22.2,23.4,27.2,20.6
IDCJAC0003,031108,2018,21.2,21.7,18.6,20.6,17.1,16.6,17.0,20.0,23.0,23.7,null,null,null
