Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,054038,1990,01,27.1
IDCJAC0003,054038,1990,02,25.5
IDCJAC0003,054038,1990,03,19.3
IDCJAC0003,054038,1990,04,10.4
IDCJAC0003,054038,1990,05,12.1
IDCJAC0003,054038,1990,06,10.7
IDCJAC0003,054038,1990,07,10.0
IDCJAC0003,054038,1990,08,12.4
IDCJAC0003,054038,1990,09,19.6
IDCJAC0003,054038,1990,10,22.6
IDCJAC0003,054038,1990,11,28.6
IDCJAC0003,054038,1990,12,28.0
IDCJAC0003,054038,1991,01,25.0
IDCJAC0003,054038,1991,02,26.9
IDCJAC0003,054038,1991,03,23.5
IDCJAC0003,054038,1991,04,18.2
IDCJAC0003,054038,1991,05,13.1
IDCJAC0003,054038,1991,06,9.9
IDCJAC0003,054038,1991,07,11.6
IDCJAC0003,054038,1991,08,15.5
IDCJAC0003,054038,1991,09,19.2
IDCJAC0003,054038,1991,10,23.0
IDCJAC0003,054038,1991,11,26.1
IDCJAC0003,054038,1991,12,27.3
IDCJAC0003,054038,1992,01,28.3
IDCJAC0003,054038,1992,02,22.6
IDCJAC0003,054038,1992,03,21.9
IDCJAC0003,054038,1992,04,15.4
IDCJAC0003,054038,1992,05,11.9
IDCJAC0003,054038,1992,06,10.2
IDCJAC0003,054038,1992,07,12.5
IDCJAC0003,054038,1992,08,14.7
IDCJAC0003,054038,1992,09,18.1
IDCJAC0003,054038,1992,10,22.1
IDCJAC0003,054038,1992,11,26.1
IDCJAC0003,054038,1992,12,25.1
IDCJAC0003,054038,1993,01,27.7
IDCJAC0003,054038,1993,02,23.6
IDCJAC0003,054038,1993,03,21.8
IDCJAC0003,054038,1993,04,17.8
IDCJAC0003,054038,1993,05,13.0
IDCJAC0003,054038,1993,06,10.9
IDCJAC0003,054038,1993,07,10.3
IDCJAC0003,054038,1993,08,12.8
IDCJAC0003,054038,1993,09,17.4
IDCJAC0003,054038,1993,10,22.1
IDCJAC0003,054038,1993,11,27.2
IDCJAC0003,054038,1993,12,26.2
IDCJAC0003,054038,1994,01,28.9
IDCJAC0003,054038,1994,02,18.1
IDCJAC0003,054038,1994,03,20.3
IDCJAC0003,054038,1994,04,17.1
IDCJAC0003,054038,1994,05,13.9
IDCJAC0003,054038,1994,06,10.8
IDCJAC0003,054038,1994,07,12.7
IDCJAC0003,054038,1994,08,17.0
IDCJAC0003,054038,1994,09,19.8
IDCJAC0003,054038,1994,10,22.2
IDCJAC0003,054038,1994,11,25.8
IDCJAC0003,054038,1994,12,30.2
IDCJAC0003,054038,1995,01,24.0
IDCJAC0003,054038,1995,02,22.6
IDCJAC0003,054038,1995,03,21.2
IDCJAC0003,054038,1995,04,16.7
IDCJAC0003,054038,1995,05,10.8
IDCJAC0003,054038,1995,06,10.9
IDCJAC0003,054038,1995,07,12.6
IDCJAC0003,054038,1995,08,16.2
IDCJAC0003,054038,1995,09,19.0
IDCJAC0003,054038,1995,10,22.3
IDCJAC0003,054038,1995,11,20.7
IDCJAC0003,054038,1995,12,27.6
IDCJAC0003,054038,1996,01,23.9
IDCJAC0003,054038,1996,02,24.7
IDCJAC0003,054038,1996,03,23.1
IDCJAC0003,054038,1996,04,17.3
IDCJAC0003,054038,1996,05,12.5
IDCJAC0003,054038,1996,06,9.7
IDCJAC0003,054038,1996,07,10.5
IDCJAC0003,054038,1996,08,13.9
IDCJAC0003,054038,1996,09,19.3
IDCJAC0003,054038,1996,10,22.5
IDCJAC0003,054038,1996,11,26.3
IDCJAC0003,054038,1996,12,27.1
IDCJAC0003,054038,1997,01,23.2
IDCJAC0003,054038,1997,02,24.0
IDCJAC0003,054038,1997,03,22.9
IDCJAC0003,054038,1997,04,18.5
IDCJAC0003,054038,1997,05,12.0
IDCJAC0003,054038,1997,06,11.8
IDCJAC0003,054038,1997,07,12.1
IDCJAC0003,054038,1997,08,16.4
IDCJAC0003,054038,1997,09,18.2
IDCJAC0003,054038,1997,10,22.9
IDCJAC0003,054038,1997,11,24.3
IDCJAC0003,054038,1997,12,27.7
IDCJAC0003,054038,1998,01,25.8
IDCJAC0003,054038,1998,02,24.8
IDCJAC0003,054038,1998,03,24.2
IDCJAC0003,054038,1998,04,14.8
IDCJAC0003,054038,1998,05,12.1
IDCJAC0003,054038,1998,06,9.4
IDCJAC0003,054038,1998,07,9.3
IDCJAC0003,054038,1998,08,13.8
IDCJAC0003,054038,1998,09,17.4
IDCJAC0003,054038,1998,10,23.1
IDCJAC0003,054038,1998,11,26.1
IDCJAC0003,054038,1998,12,29.2
IDCJAC0003,054038,1999,01,26.3
IDCJAC0003,054038,1999,02,22.7
IDCJAC0003,054038,1999,03,18.9
IDCJAC0003,054038,1999,04,17.2
IDCJAC0003,054038,1999,05,12.6
IDCJAC0003,054038,1999,06,11.1
IDCJAC0003,054038,1999,07,12.1
