Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,015590,1941,11,73.8,Y
IDCJAC0001,015590,1941,12,35.6,Y
IDCJAC0001,015590,1942,01,63.6,Y
IDCJAC0001,015590,1942,02,10.4,Y
IDCJAC0001,015590,1942,03,7.1,Y
IDCJAC0001,015590,1942,04,11.9,Y
IDCJAC0001,015590,1942,05,41.7,Y
IDCJAC0001,015590,1942,06,18.4,Y
IDCJAC0001,015590,1942,07,0.0,Y
IDCJAC0001,015590,1942,08,2.1,Y
IDCJAC0001,015590,1942,09,1.0,Y
IDCJAC0001,015590,1942,10,25.4,Y
IDCJAC0001,015590,1942,11,14.8,Y
IDCJAC0001,015590,1942,12,20.7,Y
IDCJAC0001,015590,1943,01,23.6,Y
IDCJAC0001,015590,1943,02,28.6,Y
IDCJAC0001,015590,1943,03,6.6,Y
IDCJAC0001,015590,1943,04,30.1,Y
IDCJAC0001,015590,1943,05,15.0,Y
IDCJAC0001,015590,1943,06,2.3,Y
IDCJAC0001,015590,1943,07,20.2,Y
IDCJAC0001,015590,1943,08,24.7,Y
IDCJAC0001,015590,1943,09,0.0,Y
IDCJAC0001,015590,1943,10,58.5,Y
IDCJAC0001,015590,1943,11,64.5,Y
IDCJAC0001,015590,1943,12,25.7,Y
IDCJAC0001,015590,1944,01,10.9,Y
IDCJAC0001,015590,1944,02,110.0,Y
IDCJAC0001,015590,1944,03,4.8,Y
IDCJAC0001,015590,1944,04,0.0,Y
IDCJAC0001,015590,1944,05,0.0,Y
IDCJAC0001,015590,1944,06,3.3,Y
IDCJAC0001,015590,1944,07,2.3,Y
IDCJAC0001,015590,1944,08,0.0,Y
IDCJAC0001,015590,1944,09,3.8,Y
IDCJAC0001,015590,1944,10,35.1,Y
IDCJAC0001,015590,1944,11,1.8,Y
IDCJAC0001,015590,1944,12,43.0,Y
IDCJAC0001,015590,1945,01,34.8,Y
IDCJAC0001,015590,1945,02,39.7,Y
IDCJAC0001,015590,1945,03,66.8,Y
IDCJAC0001,015590,1945,04,0.3,Y
IDCJAC0001,015590,1945,05,3.3,Y
IDCJAC0001,015590,1945,06,0.3,Y
IDCJAC0001,015590,1945,07,12.8,Y
IDCJAC0001,015590,1945,08,0.0,Y
IDCJAC0001,015590,1945,09,1.5,Y
IDCJAC0001,015590,1945,10,17.1,Y
IDCJAC0001,015590,1945,11,0.0,Y
IDCJAC0001,015590,1945,12,46.2,Y
IDCJAC0001,015590,1946,01,25.9,Y
IDCJAC0001,015590,1946,02,180.5,Y
IDCJAC0001,015590,1946,03,10.7,Y
IDCJAC0001,015590,1946,04,0.0,Y
IDCJAC0001,015590,1946,05,0.0,Y
IDCJAC0001,015590,1946,06,4.0,Y
IDCJAC0001,015590,1946,07,0.0,Y
IDCJAC0001,015590,1946,08,0.0,Y
IDCJAC0001,015590,1946,09,0.0,Y
IDCJAC0001,015590,1946,10,0.8,Y
IDCJAC0001,015590,1946,11,29.6,Y
IDCJAC0001,015590,1946,12,42.6,Y
IDCJAC0001,015590,1947,01,5.1,Y
IDCJAC0001,015590,1947,02,59.4,Y
IDCJAC0001,015590,1947,03,38.1,Y
IDCJAC0001,015590,1947,04,0.0,Y
IDCJAC0001,015590,1947,05,0.0,Y
IDCJAC0001,015590,1947,06,7.4,Y
IDCJAC0001,015590,1947,07,5.8,Y
IDCJAC0001,015590,1947,08,114.1,Y
IDCJAC0001,015590,1947,09,60.8,Y
IDCJAC0001,015590,1947,10,19.8,Y
IDCJAC0001,015590,1947,11,20.1,Y
IDCJAC0001,015590,1947,12,39.5,Y
IDCJAC0001,015590,1948,01,44.0,Y
IDCJAC0001,015590,1948,02,90.4,Y
IDCJAC0001,015590,1948,03,0.0,Y
IDCJAC0001,015590,1948,04,1.5,Y
IDCJAC0001,015590,1948,05,0.0,Y
IDCJAC0001,015590,1948,06,0.0,Y
IDCJAC0001,015590,1948,07,30.8,Y
IDCJAC0001,015590,1948,08,0.0,Y
IDCJAC0001,015590,1948,09,0.3,Y
IDCJAC0001,015590,1948,10,7.1,Y
IDCJAC0001,015590,1948,11,1.3,Y
IDCJAC0001,015590,1948,12,18.9,Y
IDCJAC0001,015590,1949,01,0.8,Y
IDCJAC0001,015590,1949,02,152.2,Y
IDCJAC0001,015590,1949,03,28.5,Y
IDCJAC0001,015590,1949,04,0.0,Y
IDCJAC0001,015590,1949,05,60.8,Y
IDCJAC0001,015590,1949,06,2.8,Y
IDCJAC0001,015590,1949,07,0.0,Y
IDCJAC0001,015590,1949,08,0.0,Y
IDCJAC0001,015590,1949,09,7.1,Y
IDCJAC0001,015590,1949,10,6.6,Y
IDCJAC0001,015590,1949,11,11.7,Y
IDCJAC0001,015590,1949,12,22.3,Y
IDCJAC0001,015590,1950,01,8.9,Y
IDCJAC0001,015590,1950,02,17.0,Y
IDCJAC0001,015590,1950,03,12.2,Y
IDCJAC0001,015590,1950,04,0.0,Y
IDCJAC0001,015590,1950,05,45.1,Y
IDCJAC0001,015590,1950,06,71.1,Y
IDCJAC0001,015590,1950,07,0.0,Y
IDCJAC0001,015590,1950,08,0.0,Y
IDCJAC0001,015590,1950,09,0.6,Y
IDCJAC0001,015590,1950,10,35.4,Y
IDCJAC0001,015590,1950,11,44.5,Y
IDCJAC0001,015590,1950,12,139.5,Y
IDCJAC0001,015590,1951,01,7.2,Y
IDCJAC0001,015590,1951,02,13.2,Y
IDCJAC0001,015590,1951,03,10.9,Y
IDCJAC0001,015590,1951,04,3.8,Y
IDCJAC0001,015590,1951,05,0.0,Y
IDCJAC0001,015590,1951,06,54.7,Y
IDCJAC0001,015590,1951,07,0.0,Y
IDCJAC0001,015590,1951,08,0.0,Y
IDCJAC0001,015590,1951,09,11.2,Y
IDCJAC0001,015590,1951,10,0.3,Y
IDCJAC0001,015590,1951,11,54.4,Y
IDCJAC0001,015590,1951,12,3.6,Y
IDCJAC0001,015590,1952,01,52.3,Y
IDCJAC0001,015590,1952,02,1.8,Y
IDCJAC0001,015590,1952,03,0.0,Y
