Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,054038,2001,null,null,null,null,null,null,null,9.4,16.0,54.2,138.6,33.2,null
IDCJAC0001,054038,2002,49.4,66.6,38.2,1.2,3.0,39.0,1.0,1.8,27.0,3.6,34.0,62.6,327.4
IDCJAC0001,054038,2003,13.6,77.0,44.4,92.4,0.2,63.0,47.4,56.6,0.4,49.8,54.6,33.8,533.2
IDCJAC0001,054038,2004,196.0,51.0,62.0,18.2,18.8,13.6,35.2,34.6,50.2,53.8,110.6,247.4,891.4
IDCJAC0001,054038,2005,34.6,39.6,2.2,3.6,24.2,186.4,19.0,21.2,82.2,53.2,107.0,141.8,715.0
IDCJAC0001,054038,2006,56.8,133.2,6.2,34.4,0.0,35.6,66.0,7.8,16.6,10.2,40.0,18.6,425.4
IDCJAC0001,054038,2007,45.8,54.6,42.0,14.6,57.4,94.6,2.4,32.4,1.6,57.6,46.4,103.0,552.4
IDCJAC0001,054038,2008,80.4,70.8,4.8,13.2,3.4,41.2,40.4,31.4,56.8,43.4,134.2,97.0,617.0
IDCJAC0001,054038,2009,19.8,105.2,13.2,57.0,38.4,19.2,17.2,3.8,29.2,41.0,8.6,130.0,482.6
IDCJAC0001,054038,2010,82.6,129.0,51.0,9.4,36.0,21.2,68.6,48.2,46.6,30.8,67.6,26.2,617.2
IDCJAC0001,054038,2011,41.6,25.2,30.0,31.2,38.8,23.4,0.6,44.0,80.8,48.4,200.0,47.8,611.8
IDCJAC0001,054038,2012,127.8,21.4,7.0,37.8,44.4,45.8,74.6,26.8,0.2,7.6,18.2,33.8,445.4
IDCJAC0001,054038,2013,142.4,44.8,141.0,0.0,27.6,70.8,22.6,3.6,20.8,7.4,96.0,14.4,591.4
IDCJAC0001,054038,2014,5.0,37.6,176.4,4.2,19.8,49.2,7.2,54.0,14.2,5.6,16.6,68.4,458.2
IDCJAC0001,054038,2015,54.4,25.0,120.0,107.0,25.4,45.2,21.0,31.4,10.2,20.6,83.0,41.0,584.2
IDCJAC0001,054038,2016,118.2,16.8,18.0,22.2,38.6,103.8,59.8,102.8,123.4,59.6,18.4,27.4,709.0
IDCJAC0001,054038,2017,105.6,12.0,192.8,13.2,24.8,41.8,11.4,19.8,3.6,62.8,59.8,37.8,585.4
IDCJAC0001,054038,2018,38.8,19.0,48.2,18.0,0.6,7.6,7.8,31.2,9.4,null,null,null,null
