pop,sex,time,gen,exp,trt,lat,lon,status
S06,Male,77.07,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,79.57,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,83.51,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,84.11,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,87.56,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,87.57,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,91.66,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,92.06,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,92.27,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,93.72,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,95.14,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,95.92,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,96.01,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,96.94,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,97.73,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,98.16,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,98.26,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,99.93,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,101.83,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,104.36,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,104.93,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,104.95,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,105.37,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,105.91,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,107.5,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,108.09,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,109.02,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,110.17,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,111.07,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,111.1,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,111.77,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,113.73,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,114.12,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,120.18,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,120.25,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,121.33,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,123.4,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,124.38,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,125.22,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,125.72,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,125.83,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,126.09,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,126.19,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,129.28,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,131.65,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,132.09,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,134.85,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,139.56,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,145.16,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,147.06,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,158.4,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,180.5,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,181.38,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,184.7,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Male,184.85,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,196.77,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,296.04,G100-5,5,chill,-33.9,151.14,Domesticated
S06,Female,128.88,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,142.6,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,143.85,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,152.15,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,156.12,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,159.35,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,160.88,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,161.38,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,162.7,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,166.23,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,170.37,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,176.7,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,177.65,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,178.43,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,183.15,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,185.67,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,186.03,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,188.37,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,192.97,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,195.4,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,212.03,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,220.32,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,220.98,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,222.83,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,228.87,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,298.68,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,298.68,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,298.68,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,298.68,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,298.68,G100-4,4,chill,-33.9,151.14,Domesticated
S06,Female,72.43,G100-1,1,chill,-33.9,151.14,Domesticated
S06,Female,73.2,G100-1,1,chill,-33.9,151.14,Domesticated
S06,Male,81.47,G100-1,1,chill,-33.9,151.14,Domesticated
S06,Male,82.4,G100-1,1,chill,-33.9,151.14,Domesticated
S06,Male,83.2,G100-1,1,chill,-33.9,151.14,Domesticated
S06,Female,84.45,G100-1,1,chill,-33.9,151.14,Domesticated
