ID,Line,Sex,Time,Exp,Event,Temp
1,S06_Oct28,Female,4.37,42C,1,42
2,S06_Oct28,Male,65.92,42C,1,42
3,S06_Oct28,Male,2.48,42C,1,42
4,S06_Oct28,Female,10.9,42C,1,42
5,S06_Oct28,Male,13.98,42C,1,42
6,S06_Oct28,Female,10.65,42C,1,42
7,S06_Oct28,Female,5.65,42C,1,42
8,S06_Oct28,Female,1.22,42C,1,42
9,S06_Oct28,Male,15.47,42C,1,42
10,S06_Oct28,Female,1.43,42C,1,42
11,S06_Oct28,Female,7.42,42C,1,42
12,S06_Oct28,Female,25.02,42C,1,42
13,S06_Oct28,Female,6.78,42C,1,42
14,S06_Oct28,Male,0.1,42C,1,42
15,S06_Oct28,Female,6.78,42C,1,42
16,S06_Oct28,Female,5.95,42C,1,42
17,S06_Oct28,Male,4.38,42C,1,42
19,S06_Oct28,Female,0.75,42C,1,42
20,S06_Oct28,Male,4.28,42C,1,42
21,S06_Oct28,Female,3.17,42C,1,42
22,S06_Oct28,Male,3.83,42C,1,42
23,S06_Oct28,Male,28.5,42C,1,42
24,S06_Oct28,Male,10.05,42C,1,42
25,S06_Oct28,Female,4.6,42C,1,42
26,S06_Oct28,Female,16.2,42C,1,42
27,S06_Oct28,Female,15.37,42C,1,42
28,S06_Oct28,Female,0.05,42C,1,42
29,S06_Oct28,Female,3.27,42C,1,42
30,S06_Oct28,Female,32.05,42C,1,42
31,S06_Oct28,Female,6.4,42C,1,42
32,S06_Oct28,Female,5.38,42C,1,42
33,S06_Oct28,Female,14.6,42C,1,42
34,S06_Oct28,Female,10.77,42C,1,42
35,S06_Oct28,Male,7.53,42C,1,42
36,S06_Oct28,Female,19.47,42C,1,42
37,S06_Oct28,Male,26.65,42C,1,42
38,S06_Oct28,Male,2.73,42C,1,42
39,S06_Oct28,Male,30.77,42C,1,42
40,S06_Oct28,Male,3.48,42C,1,42
42,S06_Oct28,Female,0.03,42C,1,42
43,S06_Oct28,Male,6.67,42C,1,42
44,S06_Oct28,Female,11.47,42C,1,42
45,S06_Oct28,Male,29.65,42C,1,42
46,S06_Oct28,Female,21.83,42C,1,42
47,S06_Oct28,Male,13.02,42C,1,42
48,S06_Oct28,Female,3.52,42C,1,42
49,S06_Oct28,Male,17.25,42C,1,42
50,S06_Oct28,Female,2.6,42C,1,42
51,S06_Oct28,Male,3.75,42C,1,42
52,S06_Oct28,Male,9.57,42C,1,42
53,S06_Oct28,Male,5.47,42C,1,42
54,S06_Oct28,Male,16.58,42C,1,42
55,S06_Oct28,Female,2.28,42C,1,42
56,S06_Oct28,Male,4.37,42C,1,42
58,S06_Oct28,Male,3.43,42C,1,42
59,S06_Oct28,Female,4.32,42C,1,42
60,S06_Oct28,Male,22.12,42C,1,42
61,S06_Oct28,Male,2.7,42C,1,42
62,S06_Oct28,Male,26.1,42C,1,42
63,S06_Oct28,Female,70.17,42C,1,42
65,S06_Oct28,Male,21.28,42C,1,42
66,S06_Oct28,Male,14.77,42C,1,42
68,S06_Oct28,Male,0.82,42C,1,42
69,S06_Oct28,Female,3.7,42C,1,42
70,S06_Oct28,Male,18.9,42C,1,42
72,S06_Oct28,Female,15.47,42C,1,42
73,S06_Oct28,Female,5.23,42C,1,42
74,S06_Oct28,Male,2.08,42C,1,42
75,S06_Oct28,Female,4.88,42C,1,42
77,S06_Oct28,Female,19.32,42C,1,42
78,S06_Oct28,Male,22.62,42C,1,42
79,S06_Oct28,Male,4.2,42C,1,42
80,S06_Oct28,Female,24.88,42C,1,42
81,S06_Oct28,Female,14.52,42C,1,42
82,S06_Oct28,Male,13.8,42C,1,42
83,S06_Oct28,Male,9.08,42C,1,42
84,S06_Oct28,Male,0.15,42C,1,42
85,S06_Oct28,Male,29.15,42C,1,42
86,S06_Oct28,Female,33.88,42C,1,42
87,S06_Oct28,Female,16.45,42C,1,42
88,S06_Oct28,Female,24.18,42C,1,42
89,S06_Oct28,Male,0.98,42C,1,42
90,S06_Oct28,Male,2.95,42C,1,42
91,S06_Oct28,Male,13.1,42C,1,42
92,S06_Oct28,Female,3.97,42C,1,42
93,S06_Oct28,Female,3.3,42C,1,42
94,S06_Oct28,Female,0.32,42C,1,42
95,S06_Oct28,Male,6,42C,1,42
96,S06_Oct28,Male,0.45,42C,1,42
97,S06_Oct28,Male,15.98,42C,1,42
98,S06_Oct28,Male,1.75,42C,1,42
99,S06_Oct28,Female,3.37,42C,1,42
100,S06_Oct28,Male,13.78,42C,1,42
101,S06_Oct28,Male,11.73,42C,1,42
102,S06_Oct28,Male,22.67,42C,1,42
103,S06_Oct28,Male,3.23,42C,1,42
104,S06_Oct28,Male,3.3,42C,1,42
105,S06_Oct28,Female,58.08,42C,1,42
106,S06_Oct28,Female,27.85,42C,1,42
109,S06_Oct28,Male,22.33,42C,1,42
110,S06_Oct28,Male,3.45,42C,1,42
111,S06_Oct28,Female,25.3,42C,1,42
112,S06_Oct28,Male,4,42C,1,42
113,S06_Oct28,Female,10.62,42C,1,42
114,S06_Oct28,Male,73.68,42C,1,42
115,S06_Oct28,Male,9.22,42C,1,42
116,S06_Oct28,Female,12.82,42C,1,42
117,S06_Oct28,Female,2.82,42C,1,42
119,S06_Oct28,Female,1.85,42C,1,42
120,S06_Oct28,Male,7.23,42C,1,42
121,S06_Oct28,Female,44.02,42C,1,42
122,S06_Oct28,Male,9.15,42C,1,42
123,S06_Oct28,Female,4.7,42C,1,42
124,S06_Oct28,Female,10.53,42C,1,42
125,S06_Oct28,Male,2.83,42C,1,42
126,S06_Oct28,Female,50.12,42C,1,42
127,S06_Oct28,Female,2.68,42C,1,42
128,S06_Oct28,Male,12.45,42C,1,42
130,S06_Oct28,Female,3.07,42C,1,42
131,S06_Oct28,Male,12.3,42C,1,42
132,S06_Oct28,Female,1.9,42C,1,42
133,S06_Oct28,Female,17.75,42C,1,42
134,S06_Oct28,Male,18.18,42C,1,42
135,S06_Oct28,Male,14.37,42C,1,42
136,S06_Oct28,Male,12.63,42C,1,42
137,S06_Oct28,Female,10.98,42C,1,42
138,S06_Oct28,Male,10.77,42C,1,42
139,S06_Oct28,Male,30.28,42C,1,42
140,S06_Oct28,Female,2.95,42C,1,42
141,S06_Oct28,Male,9.35,42C,1,42
142,S06_Oct28,Female,3.33,42C,1,42
143,S06_Oct28,Female,6.77,42C,1,42
144,S06_Oct28,Female,9.62,42C,1,42
145,S06_Oct28,Male,1.97,42C,1,42
146,S06_Oct28,Male,21.52,42C,1,42
147,S06_Oct28,Female,3.25,42C,1,42
148,S06_Oct28,Female,3.32,42C,1,42
149,S06_Oct28,Female,5.75,42C,1,42
150,S06_Oct28,Male,2.58,42C,1,42
151,S06_Oct28,Female,31.73,42C,1,42
152,S06_Oct28,Female,14.85,42C,1,42
153,S06_Oct28,Female,7.78,42C,1,42
154,S06_Oct28,Male,3.77,42C,1,42
155,S06_Oct28,Male,32.28,42C,1,42
156,S06_Oct28,Female,3.23,42C,1,42
157,S06_Oct28,Female,27.63,42C,1,42
159,S06_Oct28,Male,1.7,42C,1,42
160,S06_Oct28,Female,7.3,42C,1,42
161,S06_Oct28,Female,7.42,42C,1,42
162,S06_Oct28,Female,4.28,42C,1,42
163,S06_Oct28,Male,3.52,42C,1,42
164,S06_Oct28,Male,33.27,42C,1,42
165,S06_Oct28,Female,2.93,42C,1,42
166,S06_Oct28,Male,5.93,42C,1,42
167,S06_Oct28,Female,12.22,42C,1,42
168,S06_Oct28,Male,15.1,42C,1,42
169,S06_Oct28,Male,15.12,42C,1,42
170,S06_Oct28,Female,11.3,42C,1,42
171,S06_Oct28,Male,17.35,42C,1,42
172,S06_Oct28,Male,30.42,42C,1,42
173,S06_Oct28,Female,9.77,42C,1,42
174,S06_Oct28,Female,4.87,42C,1,42
175,S06_Oct28,Female,16.3,42C,1,42
176,S06_Oct28,Male,27.07,42C,1,42
177,S06_Oct28,Male,22.22,42C,1,42
178,S06_Oct28,Female,4.63,42C,1,42
179,S06_Oct28,Male,19.72,42C,1,42
180,S06_Oct28,Female,34.18,42C,1,42
181,S06_Oct28,Male,8.03,42C,1,42
182,S06_Oct28,Female,0.35,42C,1,42
183,S06_Oct28,Female,33.73,42C,1,42
184,S06_Oct28,Male,20.05,42C,1,42
185,S06_Oct28,Female,15.15,42C,1,42
186,S06_Oct28,Male,4.2,42C,1,42
187,S06_Oct28,Female,19.95,42C,1,42
189,S06_Oct28,Male,3.23,42C,1,42
190,S06_Oct28,Female,6.3,42C,1,42
191,S06_Oct28,Male,5.28,42C,1,42
192,S06_Oct28,Male,6.57,42C,1,42
