num,exp,com,pops,pop,sex,trt,gen,time,status,rep
57,1,0,S06,S06,Male,Desiccant,G100_1,8,1,1
160,1,0,Darwin,DW,Female,Desiccant,G2,16,1,1
243,1,0,Sydney,SY,Female,Control,G2,16,1,1
318,1,0,Darwin,DW,Female,Desiccant,G2,16,1,1
363,1,0,Alice Springs,AS,Male,Desiccant,G2,16,1,1
370,1,0,Alice Springs,AS,Male,Desiccant,G2,16,1,1
389,1,0,Sydney,SY,Male,Desiccant,G2,16,1,1
395,1,0,Alice Springs,AS,Female,Control,G2,16,1,1
431,1,0,Alice Springs,AS,Male,Desiccant,G2,16,1,1
4,1,0,S06,S06,Male,Desiccant,G100_1,20,1,1
13,1,0,S06,S06,Male,Desiccant,G100_1,20,1,1
83,1,0,S06,S06,Male,Desiccant,G100_1,20,1,1
138,1,0,S06,S06,Male,Desiccant,G100_1,20,1,1
151,1,0,S06,S06,Female,Desiccant,G100_1,20,1,1
199,1,0,S06,S06,Female,Desiccant,G100_1,20,1,1
278,1,0,S06,S06,Female,Desiccant,G100_1,20,1,1
282,1,0,S06,S06,Male,Desiccant,G100_1,20,1,1
291,1,0,S06,S06,Female,Desiccant,G100_1,20,1,1
292,1,0,S06,S06,Female,Desiccant,G100_1,20,1,1
356,1,0,S06,S06,Male,Desiccant,G100_1,20,1,1
400,1,0,S06,S06,Male,Desiccant,G100_1,20,1,1
457,1,0,S06,S06,Female,Desiccant,G100_1,20,1,1
143,1,0,Darwin,DW,Female,Desiccant,G2,20,1,1
178,1,0,Darwin,DW,Male,Control,G2,20,1,1
192,1,0,Darwin,DW,Male,Desiccant,G2,20,1,1
196,1,0,Alice Springs,AS,Male,Desiccant,G2,20,1,1
214,1,0,Alice Springs,AS,Female,Desiccant,G2,20,1,1
246,1,0,Darwin,DW,Male,Desiccant,G2,20,1,1
254,1,0,Alice Springs,AS,Male,Desiccant,G2,20,1,1
281,1,0,Alice Springs,AS,Male,Control,G2,20,1,1
308,1,0,Alice Springs,AS,Male,Control,G2,20,1,1
330,1,0,Darwin,DW,Female,Desiccant,G2,20,1,1
