Line,gens,rep,time,pop,collection,exp,gen
AS,G2,1,42,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,28,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,44,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,34,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,28,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,28,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,32,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,24,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,38,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,42,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,50,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,28,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,20,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,38,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,32,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,24,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,20,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,38,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,48,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,32,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,24,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,24,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,28,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,46,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,50,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,16,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,16,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,30,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,16,Alice Springs,2016/2017,1,G2-2016/2017
AS,G2,1,46,Alice Springs,2016/2017,1,G2-2016/2017
S06,G100,1,8,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,20,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,22,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,24,S06,2006,1,G100-2006
S06,G100,1,26,S06,2006,1,G100-2006
S06,G100,1,26,S06,2006,1,G100-2006
S06,G100,1,34,S06,2006,1,G100-2006
S06,G100,1,34,S06,2006,1,G100-2006
SY,G2,1,50,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,26,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,38,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,74,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,46,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,68,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,28,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,58,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,56,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,40,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,30,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,50,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,64,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,72,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,36,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,50,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,24,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,38,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,38,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,46,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,48,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,48,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,16,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,46,Sydney,2016/2017,1,G2-2016/2017
SY,G2,1,34,Sydney,2016/2017,1,G2-2016/2017
