num,exp,pop,sex,time,gen,round,comm,lat,lon
9,1,Alice Springs,Female,38.55,G2,1,,-23.69,133.89
15,1,Alice Springs,Female,41.93,G2,1,,-23.69,133.89
25,1,Alice Springs,Female,63.98,G2,1,,-23.69,133.89
28,1,Alice Springs,Female,49.77,G2,1,,-23.69,133.89
37,1,Alice Springs,Female,45.87,G2,1,,-23.69,133.89
49,1,Alice Springs,Female,42.15,G2,1,,-23.69,133.89
53,1,Alice Springs,Female,50.55,G2,1,,-23.69,133.89
55,1,Alice Springs,Female,54.85,G2,1,,-23.69,133.89
76,1,Alice Springs,Female,41.53,G2,1,,-23.69,133.89
83,1,Alice Springs,Female,52.70,G2,1,,-23.69,133.89
85,1,Alice Springs,Female,65.23,G2,1,,-23.69,133.89
91,1,Alice Springs,Female,51.35,G2,1,,-23.69,133.89
109,1,Alice Springs,Female,60.17,G2,1,,-23.69,133.89
110,1,Alice Springs,Female,64.37,G2,1,,-23.69,133.89
112,1,Alice Springs,Female,63.90,G2,1,,-23.69,133.89
113,1,Alice Springs,Female,18.85,G2,1,,-23.69,133.89
129,1,Alice Springs,Female,31.78,G2,1,,-23.69,133.89
141,1,Alice Springs,Female,58.52,G2,1,,-23.69,133.89
148,1,Alice Springs,Female,21.90,G2,1,,-23.69,133.89
171,1,Alice Springs,Female,62.53,G2,1,,-23.69,133.89
185,1,Alice Springs,Female,51.35,G2,1,,-23.69,133.89
192,1,Alice Springs,Female,75.35,G2,1,,-23.69,133.89
217,1,Alice Springs,Female,63.50,G2,1,,-23.69,133.89
218,1,Alice Springs,Female,43.03,G2,1,,-23.69,133.89
221,1,Alice Springs,Female,73.18,G2,1,,-23.69,133.89
222,1,Alice Springs,Female,43.55,G2,1,,-23.69,133.89
239,1,Alice Springs,Female,36.70,G2,1,,-23.69,133.89
240,1,Alice Springs,Female,38.97,G2,1,,-23.69,133.89
247,1,Alice Springs,Female,59.35,G2,1,,-23.69,133.89
255,1,Alice Springs,Female,39.95,G2,1,,-23.69,133.89
4,1,Alice Springs,Male,33.68,G2,1,,-23.69,133.89
8,1,Alice Springs,Male,36.28,G2,1,,-23.69,133.89
10,1,Alice Springs,Male,44.38,G2,1,,-23.69,133.89
17,1,Alice Springs,Male,42.12,G2,1,,-23.69,133.89
33,1,Alice Springs,Male,42.77,G2,1,,-23.69,133.89
34,1,Alice Springs,Male,42.92,G2,1,,-23.69,133.89
40,1,Alice Springs,Male,33.80,G2,1,,-23.69,133.89
47,1,Alice Springs,Male,35.70,G2,1,,-23.69,133.89
67,1,Alice Springs,Male,39.52,G2,1,,-23.69,133.89
69,1,Alice Springs,Male,45.37,G2,1,,-23.69,133.89
73,1,Alice Springs,Male,28.33,G2,1,,-23.69,133.89
86,1,Alice Springs,Male,32.73,G2,1,,-23.69,133.89
98,1,Alice Springs,Male,40.58,G2,1,,-23.69,133.89
106,1,Alice Springs,Male,38.23,G2,1,,-23.69,133.89
108,1,Alice Springs,Male,33.05,G2,1,,-23.69,133.89
135,1,Alice Springs,Male,40.40,G2,1,,-23.69,133.89
137,1,Alice Springs,Male,27.30,G2,1,,-23.69,133.89
138,1,Alice Springs,Male,19.45,G2,1,,-23.69,133.89
161,1,Alice Springs,Male,29.42,G2,1,,-23.69,133.89
163,1,Alice Springs,Male,24.93,G2,1,,-23.69,133.89
167,1,Alice Springs,Male,23.37,G2,1,,-23.69,133.89
177,1,Alice Springs,Male,37.35,G2,1,,-23.69,133.89
199,1,Alice Springs,Male,50.42,G2,1,,-23.69,133.89
201,1,Alice Springs,Male,37.03,G2,1,,-23.69,133.89
204,1,Alice Springs,Male,42.33,G2,1,,-23.69,133.89
212,1,Alice Springs,Male,33.25,G2,1,,-23.69,133.89
233,1,Alice Springs,Male,44.60,G2,1,,-23.69,133.89
236,1,Alice Springs,Male,36.95,G2,1,,-23.69,133.89
244,1,Alice Springs,Male,44.13,G2,1,,-23.69,133.89
246,1,Alice Springs,Male,39.45,G2,1,,-23.69,133.89
2,1,Darwin,Female,38.10,G2,1,,-12.42,130.85
13,1,Darwin,Female,32.55,G2,1,,-12.42,130.85
19,1,Darwin,Female,66.53,G2,1,,-12.42,130.85
29,1,Darwin,Female,32.97,G2,1,,-12.42,130.85
38,1,Darwin,Female,73.57,G2,1,,-12.42,130.85
39,1,Darwin,Female,38.15,G2,1,,-12.42,130.85
44,1,Darwin,Female,53.05,G2,1,,-12.42,130.85
65,1,Darwin,Female,58.00,G2,1,,-12.42,130.85
66,1,Darwin,Female,39.20,G2,1,,-12.42,130.85
71,1,Darwin,Female,31.53,G2,1,,-12.42,130.85
103,1,Darwin,Female,52.10,G2,1,,-12.42,130.85
107,1,Darwin,Female,45.30,G2,1,,-12.42,130.85
126,1,Darwin,Female,42.45,G2,1,,-12.42,130.85
128,1,Darwin,Female,43.50,G2,1,,-12.42,130.85
155,1,Darwin,Female,73.73,G2,1,,-12.42,130.85
157,1,Darwin,Female,45.90,G2,1,,-12.42,130.85
159,1,Darwin,Female,72.35,G2,1,,-12.42,130.85
160,1,Darwin,Female,42.38,G2,1,,-12.42,130.85
184,1,Darwin,Female,30.43,G2,1,,-12.42,130.85
187,1,Darwin,Female,35.52,G2,1,,-12.42,130.85
188,1,Darwin,Female,35.83,G2,1,,-12.42,130.85
190,1,Darwin,Female,47.23,G2,1,,-12.42,130.85
209,1,Darwin,Female,48.53,G2,1,,-12.42,130.85
213,1,Darwin,Female,50.78,G2,1,,-12.42,130.85
214,1,Darwin,Female,49.02,G2,1,,-12.42,130.85
216,1,Darwin,Female,62.12,G2,1,,-12.42,130.85
237,1,Darwin,Female,51.28,G2,1,,-12.42,130.85
238,1,Darwin,Female,53.02,G2,1,,-12.42,130.85
245,1,Darwin,Female,47.45,G2,1,,-12.42,130.85
248,1,Darwin,Female,48.50,G2,1,,-12.42,130.85
5,1,Darwin,Male,40.88,G2,1,,-12.42,130.85
21,1,Darwin,Male,21.00,G2,1,,-12.42,130.85
22,1,Darwin,Male,22.52,G2,1,,-12.42,130.85
23,1,Darwin,Male,42.55,G2,1,,-12.42,130.85
35,1,Darwin,Male,55.72,G2,1,,-12.42,130.85
41,1,Darwin,Male,23.73,G2,1,,-12.42,130.85
58,1,Darwin,Male,36.27,G2,1,,-12.42,130.85
60,1,Darwin,Male,42.50,G2,1,,-12.42,130.85
75,1,Darwin,Male,52.88,G2,1,,-12.42,130.85
79,1,Darwin,Male,41.27,G2,1,,-12.42,130.85
82,1,Darwin,Male,36.78,G2,1,,-12.42,130.85
88,1,Darwin,Male,33.08,G2,1,,-12.42,130.85
99,1,Darwin,Male,40.92,G2,1,,-12.42,130.85
101,1,Darwin,Male,44.37,G2,1,,-12.42,130.85
115,1,Darwin,Male,59.32,G2,1,,-12.42,130.85
133,1,Darwin,Male,41.92,G2,1,,-12.42,130.85
134,1,Darwin,Male,32.43,G2,1,,-12.42,130.85
142,1,Darwin,Male,28.42,G2,1,,-12.42,130.85
144,1,Darwin,Male,28.25,G2,1,,-12.42,130.85
165,1,Darwin,Male,48.68,G2,1,,-12.42,130.85
166,1,Darwin,Male,45.75,G2,1,,-12.42,130.85
168,1,Darwin,Male,36.50,G2,1,,-12.42,130.85
193,1,Darwin,Male,45.80,G2,1,,-12.42,130.85
195,1,Darwin,Male,67.25,G2,1,,-12.42,130.85
198,1,Darwin,Male,16.93,G2,1,,-12.42,130.85
203,1,Darwin,Male,70.67,G2,1,,-12.42,130.85
225,1,Darwin,Male,18.13,G2,1,,-12.42,130.85
226,1,Darwin,Male,32.98,G2,1,,-12.42,130.85
228,1,Darwin,Male,45.83,G2,1,,-12.42,130.85
232,1,Darwin,Male,28.38,G2,1,,-12.42,130.85
1,1,S06,Female,18.02,G100-1,1,,-30.33,149.78
3,1,S06,Female,31.22,G100-1,1,,-30.33,149.78
26,1,S06,Female,43.53,G100-1,1,,-30.33,149.78
36,1,S06,Female,45.85,G100-1,1,,-30.33,149.78
46,1,S06,Female,43.68,G100-1,1,,-30.33,149.78
50,1,S06,Female,46.75,G100-1,1,,-30.33,149.78
56,1,S06,Female,26.97,G100-1,1,,-30.33,149.78
68,1,S06,Female,34.28,G100-1,1,,-30.33,149.78
72,1,S06,Female,38.37,G100-1,1,,-30.33,149.78
81,1,S06,Female,40.85,G100-1,1,,-30.33,149.78
84,1,S06,Female,28.90,G100-1,1,,-30.33,149.78
97,1,S06,Female,49.80,G100-1,1,,-30.33,149.78
104,1,S06,Female,41.50,G100-1,1,,-30.33,149.78
116,1,S06,Female,31.80,G100-1,1,,-30.33,149.78
131,1,S06,Female,75.13,G100-1,1,,-30.33,149.78
139,1,S06,Female,56.23,G100-1,1,,-30.33,149.78
162,1,S06,Female,33.07,G100-1,1,,-30.33,149.78
164,1,S06,Female,40.07,G100-1,1,,-30.33,149.78
169,1,S06,Female,41.62,G100-1,1,,-30.33,149.78
179,1,S06,Female,43.48,G100-1,1,,-30.33,149.78
194,1,S06,Female,75.43,G100-1,1,,-30.33,149.78
200,1,S06,Female,36.87,G100-1,1,,-30.33,149.78
210,1,S06,Female,72.15,G100-1,1,,-30.33,149.78
220,1,S06,Female,49.37,G100-1,1,,-30.33,149.78
234,1,S06,Female,43.37,G100-1,1,,-30.33,149.78
249,1,S06,Female,46.62,G100-1,1,,-30.33,149.78
250,1,S06,Female,35.90,G100-1,1,,-30.33,149.78
253,1,S06,Female,19.98,G100-1,1,,-30.33,149.78
14,1,S06,Male,19.70,G100-1,1,,-30.33,149.78
16,1,S06,Male,27.03,G100-1,1,,-30.33,149.78
20,1,S06,Male,44.78,G100-1,1,,-30.33,149.78
32,1,S06,Male,19.87,G100-1,1,,-30.33,149.78
52,1,S06,Male,26.20,G100-1,1,,-30.33,149.78
59,1,S06,Male,29.00,G100-1,1,,-30.33,149.78
62,1,S06,Male,41.10,G100-1,1,,-30.33,149.78
63,1,S06,Male,22.95,G100-1,1,,-30.33,149.78
77,1,S06,Male,43.47,G100-1,1,,-30.33,149.78
90,1,S06,Male,38.97,G100-1,1,,-30.33,149.78
96,1,S06,Male,33.48,G100-1,1,,-30.33,149.78
114,1,S06,Male,41.98,G100-1,1,,-30.33,149.78
120,1,S06,Male,32.52,G100-1,1,,-30.33,149.78
123,1,S06,Male,33.25,G100-1,1,,-30.33,149.78
125,1,S06,Male,33.45,G100-1,1,,-30.33,149.78
151,1,S06,Male,17.38,G100-1,1,,-30.33,149.78
154,1,S06,Male,36.28,G100-1,1,,-30.33,149.78
156,1,S06,Male,25.70,G100-1,1,,-30.33,149.78
174,1,S06,Male,43.98,G100-1,1,,-30.33,149.78
180,1,S06,Male,23.82,G100-1,1,,-30.33,149.78
186,1,S06,Male,30.90,G100-1,1,,-30.33,149.78
189,1,S06,Male,31.27,G100-1,1,,-30.33,149.78
205,1,S06,Male,46.83,G100-1,1,,-30.33,149.78
219,1,S06,Male,43.10,G100-1,1,,-30.33,149.78
223,1,S06,Male,48.05,G100-1,1,,-30.33,149.78
224,1,S06,Male,33.02,G100-1,1,,-30.33,149.78
242,1,S06,Male,54.62,G100-1,1,,-30.33,149.78
243,1,S06,Male,38.58,G100-1,1,,-30.33,149.78
254,1,S06,Male,24.98,G100-1,1,,-30.33,149.78
256,1,S06,Male,38.05,G100-1,1,,-30.33,149.78
6,1,Sydney,Female,38.53,G2,1,,-33.90,151.14
11,1,Sydney,Female,75.58,G2,1,,-33.90,151.14
24,1,Sydney,Female,75.57,G2,1,,-33.90,151.14
27,1,Sydney,Female,29.60,G2,1,,-33.90,151.14
43,1,Sydney,Female,26.68,G2,1,,-33.90,151.14
45,1,Sydney,Female,31.32,G2,1,,-33.90,151.14
61,1,Sydney,Female,44.07,G2,1,,-33.90,151.14
92,1,Sydney,Female,32.45,G2,1,,-33.90,151.14
93,1,Sydney,Female,47.50,G2,1,,-33.90,151.14
94,1,Sydney,Female,35.42,G2,1,,-33.90,151.14
95,1,Sydney,Female,37.37,G2,1,,-33.90,151.14
111,1,Sydney,Female,48.87,G2,1,,-33.90,151.14
119,1,Sydney,Female,27.57,G2,1,,-33.90,151.14
122,1,Sydney,Female,25.93,G2,1,,-33.90,151.14
127,1,Sydney,Female,42.63,G2,1,,-33.90,151.14
146,1,Sydney,Female,56.88,G2,1,,-33.90,151.14
147,1,Sydney,Female,27.83,G2,1,,-33.90,151.14
152,1,Sydney,Female,36.08,G2,1,,-33.90,151.14
153,1,Sydney,Female,33.33,G2,1,,-33.90,151.14
173,1,Sydney,Female,34.15,G2,1,,-33.90,151.14
175,1,Sydney,Female,43.70,G2,1,,-33.90,151.14
181,1,Sydney,Female,60.33,G2,1,,-33.90,151.14
196,1,Sydney,Female,27.27,G2,1,,-33.90,151.14
197,1,Sydney,Female,67.85,G2,1,,-33.90,151.14
202,1,Sydney,Female,44.35,G2,1,,-33.90,151.14
208,1,Sydney,Female,41.68,G2,1,,-33.90,151.14
227,1,Sydney,Female,25.38,G2,1,,-33.90,151.14
229,1,Sydney,Female,45.85,G2,1,,-33.90,151.14
231,1,Sydney,Female,53.97,G2,1,,-33.90,151.14
235,1,Sydney,Female,37.28,G2,1,,-33.90,151.14
7,1,Sydney,Male,28.80,G2,1,,-33.90,151.14
18,1,Sydney,Male,38.87,G2,1,,-33.90,151.14
30,1,Sydney,Male,39.33,G2,1,,-33.90,151.14
31,1,Sydney,Male,35.47,G2,1,,-33.90,151.14
48,1,Sydney,Male,22.37,G2,1,,-33.90,151.14
51,1,Sydney,Male,31.03,G2,1,,-33.90,151.14
54,1,Sydney,Male,38.77,G2,1,,-33.90,151.14
57,1,Sydney,Male,21.27,G2,1,,-33.90,151.14
74,1,Sydney,Male,48.98,G2,1,,-33.90,151.14
87,1,Sydney,Male,41.87,G2,1,,-33.90,151.14
89,1,Sydney,Male,35.08,G2,1,,-33.90,151.14
102,1,Sydney,Male,47.18,G2,1,,-33.90,151.14
118,1,Sydney,Male,32.15,G2,1,,-33.90,151.14
